,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WP_011102932.1,2.612367968,1.109707351,3.332569317,0.332988528,0.739142943,0.999994768
WP_193383851.1,35.69102643,-0.213883008,2.115425723,-0.101106366,0.919466025,0.999994768
WP_011102968.1,2.124633498,1.12183659,2.942006004,0.381316894,0.70296812,0.999994768
WP_011102969.1,8.788574169,4.17972492,2.622648687,1.593703701,0.111002415,0.999994768
WP_011102972.1,5.580027545,2.261985668,2.616847573,0.864393361,0.387371839,0.999994768
WP_052507194.1,38.37863432,0.452568573,1.962241722,0.230638543,0.817595621,0.999994768
WP_159250468.1,49.72933897,-0.502910145,1.770144877,-0.284106771,0.776328558,0.999994768
WP_002551322.1.2,14.90919991,0.275117899,2.708166429,0.101588254,0.919083503,0.999994768
WP_005741073.1.2,65.54346727,-1.106210365,1.628120699,-0.679440023,0.496859098,0.999994768
WP_159229425.1,60.14486202,-2.157836969,1.566609167,-1.377393299,0.168390683,0.999994768
WP_011102975.1,24.40921485,0.265079476,2.213082493,0.119778398,0.904658695,0.999994768
WP_044392641.1,59.10061128,-0.193743733,1.723416655,-0.112418394,0.910491671,0.999994768
WP_223862839.1,4.77610425,-0.563963249,3.146640895,-0.179227077,0.857759404,0.999994768
WP_005769591.1,21.4706687,-0.155015362,2.078550474,-0.074578589,0.94055001,0.999994768
WP_005769588.1,8.370261681,2.263592149,2.074824412,1.090980102,0.275281638,0.999994768
WP_011102978.1,7.033756864,0.319070293,2.949048916,0.108194303,0.913841564,0.999994768
WP_005769583.1,30.90709333,-0.507911179,2.093070845,-0.242663157,0.808266351,0.999994768
WP_005769579.1,9.265577806,-0.080188041,2.284364254,-0.035103001,0.971997608,0.999994768
WP_011102980.1,19.1650209,0.012253817,2.160373926,0.005672081,0.995474358,0.999994768
WP_003377974.1,69.43042381,0.068730702,1.606488506,0.04278319,0.965874364,0.999994768
WP_011102981.1,1.454309406,1.228415335,3.970592641,0.309378334,0.75703375,0.999994768
WP_002551500.1,4.315550942,0.154657493,4.151432211,0.037254009,0.970282475,0.999994768
WP_003377979.1,1.600533403,2.122692164,5.899462842,0.359811091,0.718988408,0.999994768
WP_005769567.1,40.72017981,0.833176411,1.957773752,0.425573389,0.670418734,0.999994768
WP_005769565.1,12.47294754,1.477229354,2.155007964,0.685486726,0.493036834,0.999994768
WP_005613323.1,1.92752394,2.654417978,3.447778397,0.769892282,0.441363792,0.999994768
WP_007246510.1,0.079029741,4.683889705,10.49170547,0.446437399,0.655281323,0.999994768
WP_005769563.1,17.61021756,-0.874193285,2.000030961,-0.437089876,0.662046169,0.999994768
WP_011102983.1,84.91780984,-0.51689764,1.258716795,-0.41065444,0.681325939,0.999994768
WP_011102984.1,1.527523011,1.33521458,4.173198819,0.319949908,0.749006303,0.999994768
WP_046463702.1,0.855919659,6.79655459,5.43526621,1.250454776,0.211133466,0.999994768
WP_005769555.1,47.29936524,-1.415347201,1.604494789,-0.882113928,0.377715201,0.999994768
WP_011102986.1,2.487387559,0.205932151,3.440142255,0.059861522,0.952265926,0.999994768
WP_005769553.1,2.757253717,0.298185129,3.215168147,0.092743246,0.92610754,0.999994768
WP_011102988.1,22.41368207,0.048139082,2.189620859,0.021985122,0.982459823,0.999994768
WP_005769549.1,6.465942536,1.982841455,2.596527755,0.763651169,0.445075148,0.999994768
WP_005769547.1,90.4549488,-1.147741552,1.920839601,-0.597520767,0.550159746,0.999994768
WP_010208311.1,45.3813752,0.193976099,1.469853177,0.131969711,0.895008249,0.999994768
WP_005769539.1,31.32995461,-1.096671895,2.11507297,-0.518503101,0.604107297,0.999994768
WP_005769536.1,190.741523,-1.150515843,1.364718285,-0.84304274,0.399204541,0.999994768
WP_005769534.1,7.168006683,0.760150294,2.971551272,0.255809247,0.798098133,0.999994768
WP_004655323.1,2.0390925,3.094987728,4.363674174,0.709261875,0.478161982,0.999994768
WP_005769533.1,30.86050954,-1.306586818,1.835010491,-0.712032342,0.476444749,0.999994768
WP_005769531.1,8.361843265,0.032456144,3.865034918,0.008397374,0.993299944,0.999994768
WP_010208319.1,2.620741147,3.285597188,2.894413245,1.13515138,0.256311897,0.999994768
WP_005769524.1,0.121469341,2.353693405,10.49494384,0.224269271,0.822547785,0.999994768
WP_011102991.1,45.66452064,-1.517427807,1.891021273,-0.802438253,0.422299493,0.999994768
WP_011102992.1,6.115528639,1.398005771,2.820837378,0.495599563,0.620176961,0.999994768
WP_011102993.1,19.56357083,0.17087537,1.944037567,0.087897154,0.929958419,0.999994768
WP_005769516.1,61.75835492,-0.41180185,1.769272043,-0.232752137,0.815953881,0.999994768
WP_005769514.1,3.694060888,-0.07917519,3.223983084,-0.02455819,0.980407368,0.999994768
WP_007247222.1,2.402469855,0.583718097,2.820951365,0.206922425,0.836070443,0.999994768
WP_011102995.1,1.407626354,4.686418736,4.90729161,0.954990881,0.339582309,0.999994768
WP_005769505.1,5.655477933,1.483967684,3.104153171,0.478058782,0.632608368,0.999994768
WP_005769504.1,28.79305437,-1.012104834,1.972449827,-0.513120699,0.607866893,0.999994768
WP_011102996.1,69.28278958,0.805971437,1.378496124,0.584674431,0.55876665,0.999994768
WP_011102997.1,19.31717294,1.248977917,1.540718003,0.810646669,0.417568608,0.999994768
WP_011102998.1,29.49437576,0.587459128,1.632172958,0.359924557,0.718903553,0.999994768
WP_007247215.1,22.18168565,1.01233968,1.987659933,0.509312314,0.610533328,0.999994768
WP_149032136.1,164.4635193,-0.756071185,1.448803319,-0.521859092,0.601768443,0.999994768
WP_007247213.1,25.15859669,-0.549618339,2.032995798,-0.270348979,0.786891788,0.999994768
WP_007247212.1,117.9372893,-0.863750682,1.469233847,-0.587891903,0.556604852,0.999994768
WP_046463328.1,32.42208637,0.400590261,1.701423829,0.235444135,0.813864034,0.999994768
WP_011103004.1,7.918789758,0.29947598,2.669125287,0.112200046,0.910664793,0.999994768
WP_005769478.1,15.46867132,0.403221493,2.158368124,0.186817758,0.851803523,0.999994768
WP_005738602.1,23.85616785,-1.231374129,2.542259825,-0.48436203,0.628128961,0.999994768
WP_005769477.1,32.11260495,-0.262878216,1.944185448,-0.135212521,0.892443848,0.999994768
WP_011103006.1,81.85666374,-0.510260337,2.387458971,-0.21372528,0.830761296,0.999994768
WP_005769473.1,2.507205897,0.919167393,3.301304834,0.278425483,0.78068576,0.999994768
WP_046463329.1,182.4714776,-0.921305827,1.408069635,-0.654304165,0.512915863,0.999994768
WP_007247202.1,1.900401074,-1.270185235,4.303103728,-0.295178856,0.767857253,0.999994768
WP_011103008.1,152.7688253,-1.928915572,1.494943569,-1.290293233,0.196948865,0.999994768
WP_005769463.1,14.58539956,-0.06511484,2.13657191,-0.030476316,0.975687182,0.999994768
WP_005769461.1,1.176337524,1.318282495,4.688210372,0.281190985,0.778563918,0.999994768
WP_011103009.1,25.09549397,0.400754903,2.152302686,0.186198208,0.852289329,0.999994768
WP_011103010.1,5.301838395,0.808571874,2.955188122,0.273610965,0.784383607,0.999994768
WP_011103011.1,67.84151296,-1.033288076,1.687268607,-0.612402833,0.540271268,0.999994768
WP_011103012.1,7.168450175,2.432741107,2.19166097,1.109998828,0.266999532,0.999994768
WP_005768135.1,150.4745062,-0.038375805,1.669722994,-0.022983336,0.981663565,0.999994768
WP_005768136.1,28.36406456,-0.348460229,1.671309911,-0.208495281,0.834842267,0.999994768
WP_005768137.1,20.86612341,-1.118575181,2.277427895,-0.491157232,0.623315245,0.999994768
WP_003379415.1,1.774190889,0.686706112,4.382217415,0.156702885,0.875479013,0.999994768
WP_005768139.1,115.9488139,0.036880488,1.745407397,0.021130017,0.98314194,0.999994768
WP_003379418.1,0.187965331,3.013908224,9.241393603,0.326131356,0.744324974,0.999994768
WP_005613459.1,7.794881861,-0.259712167,2.305225187,-0.112662385,0.910298224,0.999994768
WP_005768141.1,11.52161632,-1.150634549,2.374732248,-0.48453233,0.628008126,0.999994768
WP_011103013.1,2.498099743,0.824054571,3.702353004,0.222575905,0.823865591,0.999994768
WP_005768143.1,1.17706842,7.544417598,5.261841206,1.433798038,0.151629905,0.999994768
WP_011103014.1,17.34088246,0.233869565,2.054842464,0.113813866,0.909385346,0.999994768
WP_005768144.1,12.02182832,0.599704506,2.224782915,0.269556414,0.787501536,0.999994768
WP_005768145.1,35.37536789,0.351379835,1.656119599,0.212170567,0.831973968,0.999994768
WP_005738577.1,1.882874658,3.288358384,4.413661748,0.745040869,0.456247014,0.999994768
WP_193383852.1,11.81689655,-1.431397001,2.82904111,-0.50596543,0.612880919,0.999994768
WP_005768148.1,23.89065759,2.507627437,2.26849772,1.10541325,0.268980565,0.999994768
WP_005768150.1,275.8590114,-1.748790708,1.550272177,-1.128053986,0.25929712,0.999994768
WP_011103015.1,3.835402424,1.338622873,2.50091024,0.535254265,0.592474047,0.999994768
WP_005768154.1,2.005318327,3.301030474,3.538871151,0.932791937,0.350927405,0.999994768
WP_011103017.1,11.29580549,0.78045837,2.493335433,0.313017799,0.754267139,0.999994768
WP_011103018.1,0.480405672,3.449916785,6.714205491,0.513823533,0.607375373,0.999994768
WP_011103019.1,9.359599337,-0.79033331,2.64914663,-0.298335057,0.76544745,0.999994768
WP_007247571.1,11.07224426,-0.667836216,3.182297177,-0.20985979,0.833777107,0.999994768
WP_046463632.1,2.798393109,0.646802741,3.896435751,0.165998564,0.86815808,0.999994768
WP_011103021.1,5.34804879,0.1950864,3.553669001,0.054897178,0.95622038,0.999994768
WP_046463633.1,7.822362928,-0.463146468,2.370445028,-0.195383762,0.845092527,0.999994768
WP_011103024.1,94.02645065,0.039522053,2.019218848,0.019572942,0.984384049,0.999994768
WP_005768180.1,0.19189735,4.26989446,10.49153387,0.406984766,0.684019177,0.999994768
WP_011103025.1,16.86945469,-0.073152414,2.377734932,-0.030765588,0.975456484,0.999994768
WP_005768190.1,95.14721444,-0.670416317,1.656353176,-0.404754449,0.685658015,0.999994768
WP_057443166.1,172.0345479,-1.549087058,1.65691027,-0.934925135,0.349826883,0.999994768
WP_005768197.1,57.2672864,0.02862134,1.55745729,0.018376966,0.985338128,0.999994768
WP_011103027.1,3.729471197,-0.571689327,3.429014867,-0.166721157,0.867589457,0.999994768
WP_005768204.1,0.744424605,2.168020351,5.925488805,0.365880423,0.714454305,0.999994768
PSPTO_RS00995,55.3644665,-0.69175121,2.214920875,-0.312314186,0.75480176,0.999994768
WP_005768207.1,74.61092833,-0.105544802,1.80936844,-0.058332399,0.953483861,0.999994768
WP_005768208.1,22.76925828,0.651779693,1.788182894,0.364492746,0.71549009,0.999994768
WP_226992712.1,37.72020133,0.730664337,2.13444181,0.342321038,0.732109305,0.999994768
WP_046463635.1,25.97609328,-0.514726776,2.180002551,-0.236112923,0.813345046,0.999994768
WP_011102959.1.2,56.72384465,-1.36398743,1.875802923,-0.727148579,0.467134942,0.999994768
WP_005741073.1.3,4.59863261,-0.380557842,2.743896269,-0.138692503,0.889693142,0.999994768
WP_002551322.1.3,13.4196552,-0.166136761,2.025124718,-0.082037792,0.934616661,0.999994768
WP_003409202.1.3,64.29951287,-0.274659429,1.612156832,-0.170367686,0.864720983,0.999994768
WP_003409203.1.3,4.281968975,1.482740436,2.98003321,0.49755836,0.618795359,0.999994768
PSPTO_RS01045,14.07688465,0.286805562,2.682900884,0.106901289,0.914867291,0.999994768
WP_147463982.1,0.927478725,4.383498325,5.754754093,0.761717747,0.446228481,0.999994768
WP_005768548.1,6.473409159,0.706936908,2.88856159,0.244736657,0.806660343,0.999994768
WP_005768545.1,7.416472268,-0.281328839,2.923608572,-0.096226575,0.923340625,0.999994768
WP_005768541.1,0.706163252,2.477592984,7.190600869,0.344559937,0.730425229,0.999994768
PSPTO_RS01080,7.430576815,0.502602182,2.790499634,0.180111897,0.857064723,0.999994768
WP_080898741.1,12.36882617,-0.885654987,2.514717674,-0.352188636,0.724696799,0.999994768
WP_122295160.1,7.784517694,1.632469819,2.328211528,0.70116903,0.483197535,0.999994768
WP_005768535.1,36.69393114,0.011387515,1.989421492,0.005724033,0.995432907,0.999994768
WP_005768531.1,8.748897802,-0.197040329,2.859651053,-0.068903627,0.945066331,0.999994768
