Gene annotation was obtained at pseudomonas.com		###Release: pgd_r_17_1	Mean log2 count per million 																															
ID	name	annotation	b2b3_AvrRpt2	b2b3_Pto	chitin_Pto	Col-0_AvrRps4	Col-0_AvrRpt2	Col-0_D36E	Col-0_Pto	de_AvrRpt2	de_Pto	deps_AvrRpt2	deps_Pto	flg_Pto	KB_AvrRps4	KB_AvrRpt2	KB_D36E	KB_Pto	MM_Pto	Mock_Pto	npr1_AvrRpt2	npr1_Pto	pad4_AvrRpt2	pad4_Pto	ps_AvrRpt2	ps_Pto	rr_AvrRpt2	SA_Pto	sid2_AvrRpt2	sid2_Pto	spm_AvrRpt2	spm_Pto	stp_AvrRpt2	stp_Pto
PSPTO_0001	dnaA	chromosomal replication initiation protein	11.16050074	11.00637497	10.22934214	10.93680551	11.16868436	9.241542861	10.78534909	11.2541971	11.04780603	10.93073574	11.03364728	9.737649874	9.932415142	10.02346023	9.774171904	9.839774419	9.002581702	10.60928691	11.14788289	10.99401674	11.01559908	10.85305241	10.94344708	10.96342932	11.06975168	10.66693994	11.02632125	10.93336527	11.08344985	11.04018075	11.24219368	11.12320685
PSPTO_0002	dnaN	DNA polymerase III subunit beta	8.911157607	9.176472977	8.951329177	9.171136635	9.0980951	7.486478548	9.01903137	9.178167203	8.896969606	8.834570179	9.123959995	8.475542701	9.698045608	9.439157163	9.450065717	9.402440074	9.156399858	9.003035308	8.915987192	9.050463181	9.326437233	9.136950755	9.158575248	9.182235912	8.820629336	8.925517316	9.067671577	8.843778957	8.899177003	8.911135083	8.935879009	9.183424849
PSPTO_0003	recF	DNA replication and repair protein RecF	8.495193966	8.43353609	8.427973745	8.645059289	8.679143128	7.475599289	8.42929936	8.706608949	8.712368271	8.702472483	8.689521766	7.484710142	7.050180542	7.110357352	6.771461638	7.262956689	6.580055728	8.54228924	8.941131729	8.722729436	8.730050238	8.47663635	8.645157738	8.557206774	8.692291348	8.542030472	8.699892286	8.470535862	8.767047625	8.531290448	8.705923103	8.512935852
PSPTO_0004	gyrB	DNA gyrase subunit B	10.06477889	9.912779363	10.17658302	10.47502973	10.28450515	8.546445559	10.25354404	10.42824772	10.24733488	10.04836639	10.52444778	9.833592952	8.499811126	8.476266698	8.448256837	8.467107856	7.834748079	10.48437844	10.37727605	10.32085235	10.4155914	10.28029651	10.36954131	10.21945891	9.809792027	10.2829636	10.5516566	10.31180346	10.19552134	10.27080506	9.978945127	9.63287219
PSPTO_0005		"type I restriction-modification system, M subunit"	5.636886135	5.705069355	5.796449137	5.412416345	5.934265702	4.980869172	5.916042007	5.840496178	6.089927874	5.838467263	5.686811956	4.825610913	6.331192223	6.018345194	6.130425243	6.189067659	5.915352105	5.869778746	5.965743394	6.262580456	6.201243846	5.988993064	6.180158856	5.869812195	5.503794482	6.263929531	6.076656088	5.918385539	5.868076725	5.984332902	5.239934561	5.413492391
PSPTO_0006		"type I restriction-modification system, S subunit, EcoA family"	4.906812036	4.701647872	5.387230103	5.147458515	5.126005482	3.643281771	5.035833122	4.628943231	5.077450524	5.165749642	5.422429685	5.162246263	5.44674927	5.08001676	5.021478343	5.270931343	5.123382004	5.396728444	5.22230619	5.320962086	5.267536645	5.130379718	5.281174292	5.150355556	5.383788529	5.51927422	5.432286047	5.120796448	4.915371085	5.117088297	5.200938333	5.169192797
PSPTO_0008		HsdR family type I site-specific deoxyribonuclease	6.002395539	5.981719336	6.371612637	6.28654748	6.270720066	6.042048357	6.262246088	6.228520556	6.21951503	5.965821348	6.270529988	6.424649423	6.545662479	6.670885921	6.615331458	6.57263052	6.32210546	6.462201827	6.002919375	6.267386337	6.379156416	6.37303494	6.554638014	6.166791336	6.43745927	6.355882895	6.228664646	6.551500917	6.533385401	6.116587415	6.399411671	6.443440261
PSPTO_0011		hypothetical protein	5.438659495	5.976729127	6.002235511	6.177138648	5.510534057	7.472362834	5.76664853	5.756478307	5.502934939	5.526667303	5.665950627	6.393753044	6.232148304	6.173754988	7.082677226	6.434729503	6.024016957	5.971807188	5.868155674	5.655376915	5.658780579	5.724360953	5.60995043	5.758025508	5.524230807	5.666543901	5.762657223	5.509308696	6.120977266	5.569559229	5.741196131	5.967808821
PSPTO_0016		hypothetical protein	4.0377866	3.86043308	4.666551682	4.082783333	3.91381937	5.931905975	4.059592768	3.860578692	4.022428358	3.723943766	3.55536398	5.849739658	5.318399055	6.147720694	6.345252716	6.355191162	6.419060623	4.002890268	3.882587765	4.091924022	4.269510926	4.05343368	4.193725172	4.107977698	3.788045099	4.025642596	4.227270097	3.265440976	3.704366797	4.028099089	4.130771855	4.603919236
PSPTO_0017		helicase/SNF2 family domain protein	4.457975314	4.991961168	4.099696554	5.158280103	4.363573506	4.368693112	4.825335133	4.180184634	4.149200289	4.558156378	4.279065549	5.038824853	5.44183424	5.791160686	5.673950884	5.858030625	5.846993865	4.48462559	4.033264128	4.378848117	4.850001904	4.643323816	5.332085169	4.973748613	4.696689189	4.636711937	4.42135934	4.392168769	4.600693841	4.788378433	4.417382894	4.400146735
