position	plate_position	plate	plant	treatment	time_point	cycles	sample	reads
A08P01	A08	P01	Col_0	dc3000	t3	20	A08P01_r2_seq.txt	221558
B04P01	B04	P01	Col_0	dc3000	t3	20	B04P01_r2_seq.txt	252681
B07P01	B07	P01	Col_0	dc3000	t3	20	B07P01_r2_seq.txt	528261
D01P01	D01	P01	Col_0	dc3000	t3	20	D01P01_r2_seq.txt	207338
D06P01	D06	P01	Col_0	dc3000	t3	20	D06P01_r2_seq.txt	350821
E04P01	E04	P01	Col_0	dc3000	t3	20	E04P01_r2_seq.txt	335842
F11P01	F11	P01	Col_0	dc3000	t3	20	F11P01_r2_seq.txt	348
G01P01	G01	P01	Col_0	dc3000	t3	20	G01P01_r2_seq.txt	161323
G06P01	G06	P01	Col_0	dc3000	t3	20	G06P01_r2_seq.txt	142564
G10P01	G10	P01	Col_0	dc3000	t3	20	G10P01_r2_seq.txt	1149
G12P01	G12	P01	Col_0	dc3000	t3	20	G12P01_r2_seq.txt	279290
B04P02	B04	P02	Col_0	dc3000	t3	20	B04P02_r2_seq.txt	459496
C09P02	C09	P02	Col_0	dc3000	t3	20	C09P02_r2_seq.txt	242
C10P02	C10	P02	Col_0	dc3000	t3	20	C10P02_r2_seq.txt	63
D10P02	D10	P02	Col_0	dc3000	t3	20	D10P02_r2_seq.txt	793001
E01P02	E01	P02	Col_0	dc3000	t3	20	E01P02_r2_seq.txt	203741
G01P02	G01	P02	Col_0	dc3000	t3	20	G01P02_r2_seq.txt	343751
G04P02	G04	P02	Col_0	dc3000	t3	20	G04P02_r2_seq.txt	361226
G08P02	G08	P02	Col_0	dc3000	t3	20	G08P02_r2_seq.txt	469455
H04P02	H04	P02	Col_0	dc3000	t3	20	H04P02_r2_seq.txt	104866
A03P03	A03	P03	Col_0	dc3000	t3	20	A03P03_r2_seq.txt	188616
B10P03	B10	P03	Col_0	dc3000	t3	20	B10P03_r2_seq.txt	184963
B11P03	B11	P03	Col_0	dc3000	t3	20	B11P03_r2_seq.txt	310438
C05P03	C05	P03	Col_0	dc3000	t3	20	C05P03_r2_seq.txt	51950
E06P03	E06	P03	Col_0	dc3000	t3	20	E06P03_r2_seq.txt	82026
G09P03	G09	P03	Col_0	dc3000	t3	20	G09P03_r2_seq.txt	292479
A08P04	A08	P04	Col_0	dc3000	t3	25	A08P04_r2_seq.txt	515029
B04P04	B04	P04	Col_0	dc3000	t3	25	B04P04_r2_seq.txt	500377
B07P04	B07	P04	Col_0	dc3000	t3	25	B07P04_r2_seq.txt	813058
D01P04	D01	P04	Col_0	dc3000	t3	25	D01P04_r2_seq.txt	371488
D06P04	D06	P04	Col_0	dc3000	t3	25	D06P04_r2_seq.txt	607551
E04P04	E04	P04	Col_0	dc3000	t3	25	E04P04_r2_seq.txt	700001
F11P04	F11	P04	Col_0	dc3000	t3	25	F11P04_r2_seq.txt	203
G01P04	G01	P04	Col_0	dc3000	t3	25	G01P04_r2_seq.txt	581250
G06P04	G06	P04	Col_0	dc3000	t3	25	G06P04_r2_seq.txt	680721
G10P04	G10	P04	Col_0	dc3000	t3	25	G10P04_r2_seq.txt	589803
G12P04	G12	P04	Col_0	dc3000	t3	25	G12P04_r2_seq.txt	937476
B04P05	B04	P05	Col_0	dc3000	t3	25	B04P05_r2_seq.txt	758663
C09P05	C09	P05	Col_0	dc3000	t3	25	C09P05_r2_seq.txt	85
C10P05	C10	P05	Col_0	dc3000	t3	25	C10P05_r2_seq.txt	133
D10P05	D10	P05	Col_0	dc3000	t3	25	D10P05_r2_seq.txt	777638
E01P05	E01	P05	Col_0	dc3000	t3	25	E01P05_r2_seq.txt	790888
G01P05	G01	P05	Col_0	dc3000	t3	25	G01P05_r2_seq.txt	644119
G04P05	G04	P05	Col_0	dc3000	t3	25	G04P05_r2_seq.txt	888717
G08P05	G08	P05	Col_0	dc3000	t3	25	G08P05_r2_seq.txt	901253
H04P05	H04	P05	Col_0	dc3000	t3	25	H04P05_r2_seq.txt	570696
A03P06	A03	P06	Col_0	dc3000	t3	25	A03P06_r2_seq.txt	375749
B10P06	B10	P06	Col_0	dc3000	t3	25	B10P06_r2_seq.txt	501291
B11P06	B11	P06	Col_0	dc3000	t3	25	B11P06_r2_seq.txt	393602
