position	plate_position	plate	plant	treatment	time_point	cycles	sample	reads
B02P01	B02	P01	Col_0	p25c2	t3	20	B02P01_r2_seq.txt	181195
B03P01	B03	P01	Col_0	p25c2	t3	20	B03P01_r2_seq.txt	1190959
F05P01	F05	P01	Col_0	p25c2	t3	20	F05P01_r2_seq.txt	455224
F06P01	F06	P01	Col_0	p25c2	t3	20	F06P01_r2_seq.txt	530125
G07P01	G07	P01	Col_0	p25c2	t3	20	G07P01_r2_seq.txt	557967
H08P01	H08	P01	Col_0	p25c2	t3	20	H08P01_r2_seq.txt	107315
A04P02	A04	P02	Col_0	p25c2	t3	20	A04P02_r2_seq.txt	33189
B01P02	B01	P02	Col_0	p25c2	t3	20	B01P02_r2_seq.txt	72164
B07P02	B07	P02	Col_0	p25c2	t3	20	B07P02_r2_seq.txt	183017
B08P02	B08	P02	Col_0	p25c2	t3	20	B08P02_r2_seq.txt	366812
C03P02	C03	P02	Col_0	p25c2	t3	20	C03P02_r2_seq.txt	184
C12P02	C12	P02	Col_0	p25c2	t3	20	C12P02_r2_seq.txt	264
D04P02	D04	P02	Col_0	p25c2	t3	20	D04P02_r2_seq.txt	320639
E05P02	E05	P02	Col_0	p25c2	t3	20	E05P02_r2_seq.txt	409813
G11P02	G11	P02	Col_0	p25c2	t3	20	G11P02_r2_seq.txt	289
H01P02	H01	P02	Col_0	p25c2	t3	20	H01P02_r2_seq.txt	93174
A01P03	A01	P03	Col_0	p25c2	t3	20	A01P03_r2_seq.txt	158884
A05P03	A05	P03	Col_0	p25c2	t3	20	A05P03_r2_seq.txt	247918
A10P03	A10	P03	Col_0	p25c2	t3	20	A10P03_r2_seq.txt	119348
B03P03	B03	P03	Col_0	p25c2	t3	20	B03P03_r2_seq.txt	73509
D02P03	D02	P03	Col_0	p25c2	t3	20	D02P03_r2_seq.txt	275444
D11P03	D11	P03	Col_0	p25c2	t3	20	D11P03_r2_seq.txt	144373
E02P03	E02	P03	Col_0	p25c2	t3	20	E02P03_r2_seq.txt	81067
E08P03	E08	P03	Col_0	p25c2	t3	20	E08P03_r2_seq.txt	235201
H01P03	H01	P03	Col_0	p25c2	t3	20	H01P03_r2_seq.txt	221007
H03P03	H03	P03	Col_0	p25c2	t3	20	H03P03_r2_seq.txt	46689
B02P04	B02	P04	Col_0	p25c2	t3	25	B02P04_r2_seq.txt	437404
B03P04	B03	P04	Col_0	p25c2	t3	25	B03P04_r2_seq.txt	636349
F05P04	F05	P04	Col_0	p25c2	t3	25	F05P04_r2_seq.txt	815284
F06P04	F06	P04	Col_0	p25c2	t3	25	F06P04_r2_seq.txt	893753
G07P04	G07	P04	Col_0	p25c2	t3	25	G07P04_r2_seq.txt	609148
H08P04	H08	P04	Col_0	p25c2	t3	25	H08P04_r2_seq.txt	666442
A04P05	A04	P05	Col_0	p25c2	t3	25	A04P05_r2_seq.txt	557483
B01P05	B01	P05	Col_0	p25c2	t3	25	B01P05_r2_seq.txt	694840
B07P05	B07	P05	Col_0	p25c2	t3	25	B07P05_r2_seq.txt	785525
B08P05	B08	P05	Col_0	p25c2	t3	25	B08P05_r2_seq.txt	961078
C03P05	C03	P05	Col_0	p25c2	t3	25	C03P05_r2_seq.txt	69
C12P05	C12	P05	Col_0	p25c2	t3	25	C12P05_r2_seq.txt	1198
D04P05	D04	P05	Col_0	p25c2	t3	25	D04P05_r2_seq.txt	509991
E05P05	E05	P05	Col_0	p25c2	t3	25	E05P05_r2_seq.txt	1413090
G11P05	G11	P05	Col_0	p25c2	t3	25	G11P05_r2_seq.txt	694816
H01P05	H01	P05	Col_0	p25c2	t3	25	H01P05_r2_seq.txt	804522
A01P06	A01	P06	Col_0	p25c2	t3	25	A01P06_r2_seq.txt	448518
A05P06	A05	P06	Col_0	p25c2	t3	25	A05P06_r2_seq.txt	502133
A10P06	A10	P06	Col_0	p25c2	t3	25	A10P06_r2_seq.txt	280571
B03P06	B03	P06	Col_0	p25c2	t3	25	B03P06_r2_seq.txt	262866
D02P06	D02	P06	Col_0	p25c2	t3	25	D02P06_r2_seq.txt	467234
D11P06	D11	P06	Col_0	p25c2	t3	25	D11P06_r2_seq.txt	474493
E02P06	E02	P06	Col_0	p25c2	t3	25	E02P06_r2_seq.txt	207702
E08P06	E08	P06	Col_0	p25c2	t3	25	E08P06_r2_seq.txt	386775
H01P06	H01	P06	Col_0	p25c2	t3	25	H01P06_r2_seq.txt	340817
H03P06	H03	P06	Col_0	p25c2	t3	25	H03P06_r2_seq.txt	242664
B12P06	B12	P06	ctrl	p25c2	t0	25	B12P06_r2_seq.txt	298933
D12P06	D12	P06	ctrl	p25c2	t0	25	D12P06_r2_seq.txt	324885
F12P06	F12	P06	ctrl	p25c2	t0	25	F12P06_r2_seq.txt	218000
A01P01	A01	P01	Ey15_2	p25c2	t3	20	A01P01_r2_seq.txt	421087
A03P01	A03	P01	Ey15_2	p25c2	t3	20	A03P01_r2_seq.txt	61318
A07P01	A07	P01	Ey15_2	p25c2	t3	20	A07P01_r2_seq.txt	167563
A09P01	A09	P01	Ey15_2	p25c2	t3	20	A09P01_r2_seq.txt	487316
B12P01	B12	P01	Ey15_2	p25c2	t3	20	B12P01_r2_seq.txt	123058
D02P01	D02	P01	Ey15_2	p25c2	t3	20	D02P01_r2_seq.txt	139124
D03P01	D03	P01	Ey15_2	p25c2	t3	20	D03P01_r2_seq.txt	222482
E08P01	E08	P01	Ey15_2	p25c2	t3	20	E08P01_r2_seq.txt	87027
F09P01	F09	P01	Ey15_2	p25c2	t3	20	F09P01_r2_seq.txt	635129
G09P01	G09	P01	Ey15_2	p25c2	t3	20	G09P01_r2_seq.txt	224380
H07P01	H07	P01	Ey15_2	p25c2	t3	20	H07P01_r2_seq.txt	23725
A03P02	A03	P02	Ey15_2	p25c2	t3	20	A03P02_r2_seq.txt	66591
B11P02	B11	P02	Ey15_2	p25c2	t3	20	B11P02_r2_seq.txt	401
E09P02	E09	P02	Ey15_2	p25c2	t3	20	E09P02_r2_seq.txt	239417
E10P02	E10	P02	Ey15_2	p25c2	t3	20	E10P02_r2_seq.txt	204793
F09P02	F09	P02	Ey15_2	p25c2	t3	20	F09P02_r2_seq.txt	283913
F11P02	F11	P02	Ey15_2	p25c2	t3	20	F11P02_r2_seq.txt	214
H11P02	H11	P02	Ey15_2	p25c2	t3	20	H11P02_r2_seq.txt	218
B08P03	B08	P03	Ey15_2	p25c2	t3	20	B08P03_r2_seq.txt	129122
D05P03	D05	P03	Ey15_2	p25c2	t3	20	D05P03_r2_seq.txt	56719
D10P03	D10	P03	Ey15_2	p25c2	t3	20	D10P03_r2_seq.txt	50302
E03P03	E03	P03	Ey15_2	p25c2	t3	20	E03P03_r2_seq.txt	114588
F09P03	F09	P03	Ey15_2	p25c2	t3	20	F09P03_r2_seq.txt	111010
G08P03	G08	P03	Ey15_2	p25c2	t3	20	G08P03_r2_seq.txt	148412
H04P03	H04	P03	Ey15_2	p25c2	t3	20	H04P03_r2_seq.txt	111814
H10P03	H10	P03	Ey15_2	p25c2	t3	20	H10P03_r2_seq.txt	186790
A01P04	A01	P04	Ey15_2	p25c2	t3	25	A01P04_r2_seq.txt	563481
A03P04	A03	P04	Ey15_2	p25c2	t3	25	A03P04_r2_seq.txt	512908
A07P04	A07	P04	Ey15_2	p25c2	t3	25	A07P04_r2_seq.txt	521659
A09P04	A09	P04	Ey15_2	p25c2	t3	25	A09P04_r2_seq.txt	414833
B12P04	B12	P04	Ey15_2	p25c2	t3	25	B12P04_r2_seq.txt	785751
D02P04	D02	P04	Ey15_2	p25c2	t3	25	D02P04_r2_seq.txt	447790
D03P04	D03	P04	Ey15_2	p25c2	t3	25	D03P04_r2_seq.txt	390338
E08P04	E08	P04	Ey15_2	p25c2	t3	25	E08P04_r2_seq.txt	899875
F09P04	F09	P04	Ey15_2	p25c2	t3	25	F09P04_r2_seq.txt	767757
G09P04	G09	P04	Ey15_2	p25c2	t3	25	G09P04_r2_seq.txt	648187
H07P04	H07	P04	Ey15_2	p25c2	t3	25	H07P04_r2_seq.txt	476325
A03P05	A03	P05	Ey15_2	p25c2	t3	25	A03P05_r2_seq.txt	203
B11P05	B11	P05	Ey15_2	p25c2	t3	25	B11P05_r2_seq.txt	627444
E09P05	E09	P05	Ey15_2	p25c2	t3	25	E09P05_r2_seq.txt	791032
E10P05	E10	P05	Ey15_2	p25c2	t3	25	E10P05_r2_seq.txt	409009
F09P05	F09	P05	Ey15_2	p25c2	t3	25	F09P05_r2_seq.txt	693749
F11P05	F11	P05	Ey15_2	p25c2	t3	25	F11P05_r2_seq.txt	685539
H11P05	H11	P05	Ey15_2	p25c2	t3	25	H11P05_r2_seq.txt	1057743
B08P06	B08	P06	Ey15_2	p25c2	t3	25	B08P06_r2_seq.txt	249820
D05P06	D05	P06	Ey15_2	p25c2	t3	25	D05P06_r2_seq.txt	579769
D10P06	D10	P06	Ey15_2	p25c2	t3	25	D10P06_r2_seq.txt	252560
E03P06	E03	P06	Ey15_2	p25c2	t3	25	E03P06_r2_seq.txt	350918
F09P06	F09	P06	Ey15_2	p25c2	t3	25	F09P06_r2_seq.txt	280588
G08P06	G08	P06	Ey15_2	p25c2	t3	25	G08P06_r2_seq.txt	351275
H04P06	H04	P06	Ey15_2	p25c2	t3	25	H04P06_r2_seq.txt	380447
H10P06	H10	P06	Ey15_2	p25c2	t3	25	H10P06_r2_seq.txt	426621
