plate_position	plate	position	plant	treatment	time_point	sample	reads
G03	P03	G03P03	ctrl	dc3000	t0	G03P03_r2_seq.txt	1588
F01	P03	F01P03	ctrl	dc3000	t0	F01P03_r2_seq.txt	1603
C01	P03	C01P03	ctrl	dc3000	t0	C01P03_r2_seq.txt	1748
H12	P02	H12P02	ctrl	dc3000	t0	H12P02_r2_seq.txt	2766
G08	P02	G08P02	ey15_2	dc3000	t3	G08P02_r2_seq.txt	14101
E10	P02	E10P02	ey15_2	dc3000	t3	E10P02_r2_seq.txt	336492
G05	P02	G05P02	col_0	dc3000	t3	G05P02_r2_seq.txt	490296
H04	P02	H04P02	ctrl	dc3000	t0	H04P02_r2_seq.txt	538007
A11	P01	A11P01	col_0	dc3000	t3	A11P01_r2_seq.txt	598734
C08	P02	C08P02	ctrl	dc3000	t0	C08P02_r2_seq.txt	657387
D01	P02	D01P02	ctrl	dc3000	t0	D01P02_r2_seq.txt	694436
D03	P01	D03P01	ey15_2	dc3000	t3	D03P01_r2_seq.txt	710834
C11	P01	C11P01	col_0	dc3000	t3	C11P01_r2_seq.txt	739753
H01	P02	H01P02	col_0	dc3000	t3	H01P02_r2_seq.txt	754120
E05	P02	E05P02	ey15_2	dc3000	t3	E05P02_r2_seq.txt	772730
E11	P01	E11P01	ctrl	dc3000	t0	E11P01_r2_seq.txt	788722
D09	P02	D09P02	ctrl	dc3000	t0	D09P02_r2_seq.txt	789660
B08	P02	B08P02	ctrl	dc3000	t0	B08P02_r2_seq.txt	824111
C05	P02	C05P02	ey15_2	dc3000	t3	C05P02_r2_seq.txt	837610
G06	P02	G06P02	ctrl	dc3000	t0	G06P02_r2_seq.txt	850120
B11	P01	B11P01	col_0	dc3000	t3	B11P01_r2_seq.txt	850815
G09	P02	G09P02	ey15_2	dc3000	t3	G09P02_r2_seq.txt	857760
G01	P02	G01P02	col_0	dc3000	t3	G01P02_r2_seq.txt	860351
A11	P02	A11P02	ctrl	dc3000	t0	A11P02_r2_seq.txt	869189
F11	P01	F11P01	ey15_2	dc3000	t3	F11P01_r2_seq.txt	869688
H11	P01	H11P01	col_0	dc3000	t3	H11P01_r2_seq.txt	875025
H03	P02	H03P02	ey15_2	dc3000	t3	H03P02_r2_seq.txt	878369
C06	P02	C06P02	ctrl	dc3000	t0	C06P02_r2_seq.txt	889229
F02	P03	F02P03	ctrl	dc3000	t0	F02P03_r2_seq.txt	903415
H02	P03	H02P03	ey15_2	dc3000	t3	H02P03_r2_seq.txt	914135
A02	P02	A02P02	col_0	dc3000	t3	A02P02_r2_seq.txt	915594
B05	P02	B05P02	ctrl	dc3000	t0	B05P02_r2_seq.txt	919948
F02	P02	F02P02	ctrl	dc3000	t0	F02P02_r2_seq.txt	931862
C03	P02	C03P02	col_0	dc3000	t3	C03P02_r2_seq.txt	941320
A07	P02	A07P02	ey15_2	dc3000	t3	A07P02_r2_seq.txt	941743
E11	P02	E11P02	col_0	dc3000	t3	E11P02_r2_seq.txt	945668
C02	P02	C02P02	ey15_2	dc3000	t3	C02P02_r2_seq.txt	960616
E09	P02	E09P02	col_0	dc3000	t3	E09P02_r2_seq.txt	974950
A05	P02	A05P02	col_0	dc3000	t3	A05P02_r2_seq.txt	995948
B02	P02	B02P02	col_0	dc3000	t3	B02P02_r2_seq.txt	997689
C04	P01	C04P01	ey15_2	dc3000	t3	C04P01_r2_seq.txt	1030982
D12	P02	D12P02	ctrl	dc3000	t0	D12P02_r2_seq.txt	1033493
D03	P03	D03P03	ey15_2	dc3000	t3	D03P03_r2_seq.txt	1034616
H04	P01	H04P01	ey15_2	dc3000	t3	H04P01_r2_seq.txt	1043162
C03	P03	C03P03	ey15_2	dc3000	t3	C03P03_r2_seq.txt	1043983
E07	P02	E07P02	col_0	dc3000	t3	E07P02_r2_seq.txt	1049999
G04	P01	G04P01	ey15_2	dc3000	t3	G04P01_r2_seq.txt	1050272
E04	P02	E04P02	col_0	dc3000	t3	E04P02_r2_seq.txt	1057259
D05	P02	D05P02	col_0	dc3000	t3	D05P02_r2_seq.txt	1063469
G04	P02	G04P02	col_0	dc3000	t3	G04P02_r2_seq.txt	1066790
A03	P02	A03P02	ey15_2	dc3000	t3	A03P02_r2_seq.txt	1077614
B06	P01	B06P01	col_0	dc3000	t3	B06P01_r2_seq.txt	1079319
H10	P02	H10P02	ey15_2	dc3000	t3	H10P02_r2_seq.txt	1085815
F12	P02	F12P02	ctrl	dc3000	t0	F12P02_r2_seq.txt	1087908
A01	P02	A01P02	ctrl	dc3000	t0	A01P02_r2_seq.txt	1112815
D05	P01	D05P01	col_0	dc3000	t3	D05P01_r2_seq.txt	1167378
A09	P02	A09P02	col_0	dc3000	t3	A09P02_r2_seq.txt	1178136
H12	P01	H12P01	col_0	dc3000	t3	H12P01_r2_seq.txt	1181212
B12	P02	B12P02	ctrl	dc3000	t0	B12P02_r2_seq.txt	1191972
F05	P02	F05P02	col_0	dc3000	t3	F05P02_r2_seq.txt	1218038
E03	P01	E03P01	col_0	dc3000	t3	E03P01_r2_seq.txt	1390631
F01	P01	F01P01	ey15_2	dc3000	t3	F01P01_r2_seq.txt	1436157
A01	P01	A01P01	ey15_2	dc3000	t3	A01P01_r2_seq.txt	1460514
B05	P01	B05P01	ctrl	dc3000	t0	B05P01_r2_seq.txt	1490790
A06	P01	A06P01	ctrl	dc3000	t0	A06P01_r2_seq.txt	1495134
C12	P01	C12P01	ey15_2	dc3000	t3	C12P01_r2_seq.txt	1614936
G07	P01	G07P01	ey15_2	dc3000	t3	G07P01_r2_seq.txt	1626157
