ID,eC_number,logFC,AveExpr,t,P.Value,adj.P.Val,B
BJEIHDPM_00922,4.2.1.46,6.968649363,13.33161348,47.77541722,3.02369671745301e-41,1.4510720547057e-37,83.93062582
BJEIHDPM_00924,2.7.7.24,6.776296145,11.83511355,44.78806619,5.75839115262128e-40,1.38172595707147e-36,80.92401077
BJEIHDPM_03393,5.1.3.26,6.76054118,10.15488938,36.29797025,7.90705599261963e-36,1.26486539028605e-32,71.39265405
BJEIHDPM_00929,2.4.-.-,4.991237189,13.15070807,34.29605868,1.01346036985082e-34,1.21589907872852e-31,69.13608073
BJEIHDPM_01827,inference=ab initio prediction:Prodigal:2.6,-4.899827877,10.22178339,-33.28048699,3.89856768624348e-34,3.74184526525649e-31,67.51412829
BJEIHDPM_01315,inference=ab initio prediction:Prodigal:2.6,6.459992919,9.874378124,31.85378365,2.76217318063243e-33,2.20927818230917e-30,65.6814176
BJEIHDPM_01314,inference=ab initio prediction:Prodigal:2.6,5.498660421,9.517061168,31.33079349,5.77723689970996e-33,3.96070855452973e-30,64.95143119
BJEIHDPM_01648,3.1.-.-,-5.145785264,9.984441861,-30.23341072,2.82030466260073e-32,1.69183025947762e-29,63.28073322
BJEIHDPM_03193,inference=ab initio prediction:Prodigal:2.6,-5.184023502,9.074607979,-28.74800998,2.62575447979524e-31,1.40011063872637e-28,60.82719145
BJEIHDPM_02002,tnsB,-5.223704055,9.303150436,-28.4011014,4.48761065772425e-31,2.14462165733328e-28,60.40852803
BJEIHDPM_01713,inference=ab initio prediction:Prodigal:2.6,-5.180422435,9.5812289,-28.34248856,4.91578208599002e-31,2.14462165733328e-28,60.41488202
BJEIHDPM_00937,spsA,4.921039535,12.05580943,27.34882634,2.36529505501061e-30,9.45920914082993e-28,59.09455023
BJEIHDPM_00056,1.-.-.-,-5.584273409,8.102865927,-27.01405114,4.06175280655583e-30,1.49941167066626e-27,57.84177968
BJEIHDPM_01203,inference=ab initio prediction:Prodigal:2.6,-5.258113444,9.330675807,-26.86600415,5.16870234609025e-30,1.67022554881609e-27,58.05410339
BJEIHDPM_01681,lgrD,-4.81402491,9.193011079,-26.85988926,5.22054245306134e-30,1.67022554881609e-27,58.08271858
BJEIHDPM_01828,3.6.4.12,-5.061998352,9.254049801,-26.7828272,5.92120688547153e-30,1.77599199021112e-27,57.93922172
BJEIHDPM_01313,inference=ab initio prediction:Prodigal:2.6,4.865021854,12.35248844,26.63132021,7.59184160068743e-30,2.14313222598229e-27,57.9202606
BJEIHDPM_01801,inference=ab initio prediction:Prodigal:2.6,-4.991841664,9.133902286,-26.439887,1.04112552814691e-29,2.7757563386539e-27,57.36412001
BJEIHDPM_00590,2.7.13.3,-4.987189363,8.83269526,-26.16557435,1.64273071181888e-29,3.96034063068003e-27,56.82104328
BJEIHDPM_04484,tycC_4,-5.443982615,8.915766926,-26.16275456,1.65048578065432e-29,3.96034063068003e-27,56.79063329
BJEIHDPM_01700,inference=ab initio prediction:Prodigal:2.6,-4.907000421,8.809568053,-26.00884006,2.13575620465828e-29,4.88071144102623e-27,56.59667015
BJEIHDPM_00925,2.4.1.305,4.909411153,12.70082422,25.94525201,2.37666241945007e-29,5.1843649777004e-27,56.76916713
BJEIHDPM_02448,inference=ab initio prediction:Prodigal:2.6,-4.831604092,9.103448196,-25.78841806,3.09651876031781e-29,6.13391817302329e-27,56.31824056
BJEIHDPM_02993,3.1.-.-,-5.150704258,8.558458459,-25.77941932,3.14401945024972e-29,6.13391817302329e-27,56.11131826
BJEIHDPM_00926,5.1.3.13,5.652510853,7.783314722,25.76983764,3.19541475985794e-29,6.13391817302329e-27,56.21162896
BJEIHDPM_03395,4.2.1.135,5.024374423,12.79292731,25.71512763,3.50574142874994e-29,6.17349597213865e-27,56.37807959
BJEIHDPM_02534,btuB_1,-5.039382328,8.721889747,-25.70061591,3.59310026102194e-29,6.17349597213865e-27,56.04958199
BJEIHDPM_02008,inference=ab initio prediction:Prodigal:2.6,-5.021989106,8.794327376,-25.6991649,3.60195639132907e-29,6.17349597213865e-27,56.06741412
BJEIHDPM_01622,2.6.1.48,-5.081779238,8.727007975,-25.51495876,4.92823714853199e-29,7.76841759474162e-27,55.74064189
BJEIHDPM_01651,6.3.2.-,-5.401095556,8.544747597,-25.503303,5.02730821222021e-29,7.76841759474162e-27,55.62775621
BJEIHDPM_02987,rhsD,-5.027370028,9.104187035,-25.48676686,5.1713579715625e-29,7.76841759474162e-27,55.77651455
BJEIHDPM_01250,2.8.4.4,-5.29623977,8.120257773,-25.48578705,5.18002423487668e-29,7.76841759474162e-27,55.48095088
BJEIHDPM_01639,6.2.1.3,-5.048106074,8.645992611,-25.44906991,5.51569140062436e-29,8.02115243381706e-27,55.63363576
BJEIHDPM_03587,2.4.1.293,-5.119162717,8.630286548,-25.35167452,6.51773955159259e-29,9.19959767885084e-27,55.43644954
BJEIHDPM_02988,3.1.-.-,-5.380328786,8.794520617,-25.25925399,7.64037710061425e-29,1.04760484873851e-26,55.29623472
