baseMean_Ey	log2FoldChange_Ey	pvalue_Ey	padj_Ey	DC_ID_r	ID	logFC_tailocin	AveExpr_tailocin	t_tailocin	P.Value_tailocin	adj.P.Val_tailocin	DC_ID
WP_005771402.1	141.061241710299	-0.49116868882888	0.0062088491880955	0.0427533909276982	WP_005771402.1	BJEIHDPM_00922	6.968649363	13.33161348	47.77541722	3.02369671745301e-41	1.4510720547057e-37	WP_005771402.1
WP_011103413.1	30.8405329002042	-1.45236804176556	1.99771715372341e-10	2.96328044468972e-08	WP_011103413.1	BJEIHDPM_00924	6.776296145	11.83511355	44.78806619	5.75839115262128e-40	1.38172595707147e-36	WP_011103413.1
WP_011103695.1	23.894084747114	0.0524750176600189	0.886208976183965	0.943539992262791	WP_011103695.1	BJEIHDPM_03393	6.76054118	10.15488938	36.29797025	7.90705599261963e-36	1.26486539028605e-32	WP_011103695.1
WP_011103411.1	175.655684746668	-1.38221600314724	1.16651957842117e-16	5.93258528454194e-14	WP_011103411.1	BJEIHDPM_00929	4.991237189	13.15070807	34.29605868	1.01346036985082e-34	1.21589907872852e-31	WP_011103411.1
WP_011105261.1	8.88083291137384	-2.14770590018734	1.89667505883675e-07	1.40670066863726e-05	WP_011105261.1	BJEIHDPM_01315	6.459992919	9.874378124	31.85378365	2.76217318063243e-33	2.20927818230917e-30	WP_011105261.1
WP_005762973.1	10.1660493059335	-2.09974259257279	3.17533928111135e-07	2.25065079113639e-05	WP_005762973.1	BJEIHDPM_01314	5.498660421	9.517061168	31.33079349	5.77723689970996e-33	3.96070855452973e-30	WP_005762973.1
WP_044392641.1	175.102636662755	0.394004797224977	0.015672043848785	0.0818071497092	WP_044392641.1	BJEIHDPM_02002	-5.223704055	9.303150436	-28.4011014	4.48761065772425e-31	2.14462165733328e-28	WP_044392641.1
WP_011104372.1	113.525922623234	0.298683794360153	0.0941010539325912	0.25749404458111	WP_011104372.1	BJEIHDPM_00056	-5.584273409	8.102865927	-27.01405114	4.06175280655583e-30	1.49941167066626e-27	WP_011104372.1
WP_011105509.1	160.05519103508	0.286029771642828	0.10195437372505	0.272286249408235	WP_011105509.1	BJEIHDPM_01681	-4.81402491	9.193011079	-26.85988926	5.22054245306134e-30	1.67022554881609e-27	WP_011105509.1
WP_011105259.1	79.3126238798168	-1.64998911840228	2.4541988632401e-16	9.70771994792751e-14	WP_011105259.1	BJEIHDPM_01313	4.865021854	12.35248844	26.63132021	7.59184160068743e-30	2.14313222598229e-27	WP_011105259.1
