baseMean_Ey log2FoldChange_Ey pvalue_Ey padj_Ey DC_ID_r p0 p0_axenic ID logFC_tailocin AveExpr_tailocin t_tailocin P.Value_tailocin adj.P.Val_tailocin DC_ID selection_Eyach FC
WP_005771402.1 141.061241710299 -0.491168688826026 0.00620884918036553 0.0427533908744706 WP_005771402.1 0.00281039647559197 0.00281039647559197 BJEIHDPM_00922 6.968649363 13.33161348 47.77541722 3.02369671745301e-41 1.4510720547057e-37 WP_005771402.1 -0.00597284547086114 0.71144853879088
WP_011103413.1 30.8405329002042 -1.45236804176042 1.99771714067918e-10 2.96328042534078e-08 WP_011103413.1 0.000968354257180872 0.000968354257180872 BJEIHDPM_00924 6.776296145 11.83511355 44.78806619 5.75839115262128e-40 1.38172595707147e-36 WP_011103413.1 -0.0176614879523088 0.365421128680714
WP_011103695.1 23.894084747114 0.052475017659188 0.886208976174052 0.943539992230612 WP_011103695.1 0.00040056619355921 0.00040056619355921 BJEIHDPM_03393 6.76054118 10.15488938 36.29797025 7.90705599261963e-36 1.26486539028605e-32 WP_011103695.1 0.000638121237549114 1.03704249847156
WP_011103411.1 175.655684746668 -1.38221600314588 1.16651956509772e-16 5.93258521678272e-14 WP_011103411.1 0.00526745942722712 0.00526745942722712 BJEIHDPM_00929 4.991237189 13.15070807 34.29605868 1.01346036985082e-34 1.21589907872852e-31 WP_011103411.1 -0.0168084057106211 0.38362908199766
WP_011105261.1 8.88083291137384 -2.1477059001834 1.89667505355943e-07 1.40670066472324e-05 WP_011105261.1 0.000399863439900058 0.000399863439900058 BJEIHDPM_01315 6.459992919 9.874378124 31.85378365 2.76217318063243e-33 2.20927818230917e-30 WP_011105261.1 -0.0261171278839313 0.225671181253352
WP_005762973.1 10.1660493059335 -2.09974259256979 3.17533927370907e-07 2.25065078666076e-05 WP_005762973.1 0.000351026303168713 0.000351026303168713 BJEIHDPM_01314 5.498660421 9.517061168 31.33079349 5.77723689970996e-33 3.96070855452973e-30 WP_005762973.1 -0.025533871191954 0.233299869821756
WP_044392641.1 175.102636662755 0.39400479722671 0.0156720438317753 0.0818071496204109 WP_044392641.1 0.00246587721214566 0.00246587721214566 BJEIHDPM_02002 -5.223704055 9.303150436 -28.4011014 4.48761065772425e-31 2.14462165733328e-28 WP_044392641.1 0.00479128621622433 1.3140359965538
WP_011104372.1 113.525922623234 0.29868379436033 0.0941010538820718 0.257494044442871 WP_011104372.1 0.00143465757688709 0.00143465757688709 BJEIHDPM_00056 -5.584273409 8.102865927 -27.01405114 4.06175280655583e-30 1.49941167066626e-27 WP_011104372.1 0.00363213736736507 1.23002172267506
WP_011105509.1 160.05519103508 0.2860297716431 0.101954373673331 0.272286249270111 WP_011105509.1 0.00202815964690641 0.00202815964690641 BJEIHDPM_01681 -4.81402491 9.193011079 -26.85988926 5.22054245306134e-30 1.67022554881609e-27 WP_011105509.1 0.00347825841702842 1.21928025504312
WP_011105259.1 79.3126238798168 -1.64998911839919 2.45419883735467e-16 9.70771984553625e-14 WP_011105259.1 0.0025705922688497 0.0025705922688497 BJEIHDPM_01313 4.865021854 12.35248844 26.63132021 7.59184160068743e-30 2.14313222598229e-27 WP_011105259.1 -0.0200646544802279 0.318642560198488
WP_046463398.1 175.91691380944 0.500553969518702 0.0180607865642734 0.0893005557900186 WP_046463398.1 0.00201561956623429 0.00201561956623429 BJEIHDPM_00590 -4.987189363 8.83269526 -26.16557435 1.64273071181888e-29 3.96034063068003e-27 WP_046463398.1 0.00608697495947328 1.41475669977597
WP_011104220.1 276.539714443048 1.17061113212045 1.09210463271272e-09 1.2149664038929e-07 WP_011104220.1 0.00251351001205343 0.00251351001205343 BJEIHDPM_04484 -5.443982615 8.915766926 -26.16275456 1.65048578065432e-29 3.96034063068003e-27 WP_011104220.1 0.014235189574761 2.25107033097529
WP_011105516.1 134.18052893195 0.674612690669537 0.00242942470177489 0.022759873521891 WP_011105516.1 0.00155169455625861 0.00155169455625861 BJEIHDPM_01700 -4.907000421 8.809568053 -26.00884006 2.13575620465828e-29 4.88071144102623e-27 WP_011105516.1 0.00820361200890435 1.59616820408895
WP_007244127.1 111.378402353449 -1.60792319338379 4.39487830188755e-21 5.21525558490656e-18 WP_007244127.1 0.00346805984474644 0.00346805984474644 BJEIHDPM_00925 4.909411153 12.70082422 25.94525201 2.37666241945007e-29 5.1843649777004e-27 WP_007244127.1 -0.0195531127728231 0.328070279083557
WP_011104973.1 210.556861243358 0.742866621286201 0.00138714446954023 0.0151016339803157 WP_011104973.1 0.00213191590940607 0.00213191590940607 BJEIHDPM_02993 -5.150704258 8.558458459 -25.77941932 3.14401945024972e-29 6.13391817302329e-27 WP_011104973.1 0.00903361235222145 1.67349776154025
WP_005771397.1 4.55247103836933 -1.32698597026525 0.0127303977000649 0.0701551328362707 WP_005771397.1 0.000165075771557397 0.000165075771557397 BJEIHDPM_00926 5.652510853 7.783314722 25.76983764 3.19541475985794e-29 6.13391817302329e-27 WP_005771397.1 -0.0161367821742449 0.398600114506429
WP_011103697.1 152.534242126096 -0.916290933699701 7.57589533144291e-05 0.00175131086882706 WP_011103697.1 0.00388369103230085 0.00388369103230085 BJEIHDPM_03395 5.024374423 12.79292731 25.71512763 3.50574142874994e-29 6.17349597213865e-27 WP_011103697.1 -0.0111425346888875 0.529869527501911
WP_011103229.1 136.1562573862 0.456995331686409 0.0168163309583162 0.0852793991618315 WP_011103229.1 0.00175208391354298 0.00175208391354298 BJEIHDPM_02534 -5.039382328 8.721889747 -25.70061591 3.59310026102194e-29 6.17349597213865e-27 WP_011103229.1 0.00555728115241213 1.37267998949083
WP_011105466.1 139.889399469729 0.821160019093625 4.53254461932022e-05 0.00115256134605571 WP_011105466.1 0.0016447832812205 0.0016447832812205 BJEIHDPM_01622 -5.081779238 8.727007975 -25.51495876 4.92823714853199e-29 7.76841759474162e-27 WP_011105466.1 0.00998569740391749 1.76682606275914
WP_011104973.1.1 210.556861243358 0.742866621286201 0.00138714446954023 0.0151016339803157 WP_011104973.1 0.00213191590940607 0.00213191590940607 BJEIHDPM_02987 -5.027370028 9.104187035 -25.48676686 5.1713579715625e-29 7.76841759474162e-27 WP_011104973.1 0.00903361235222145 1.67349776154025
WP_005763035.1 93.8277136511231 0.0160860918201657 0.943275701147855 0.97166131252499 WP_005763035.1 0.00115916015621416 0.00115916015621416 BJEIHDPM_01250 -5.29623977 8.120257773 -25.48578705 5.18002423487668e-29 7.76841759474162e-27 WP_005763035.1 0.000195614547217127 1.01121242244677
WP_005767015.1 86.1800561612202 -0.913408718920976 3.16309163647955e-06 0.00015860008768827 WP_005767015.1 0.00207788290885118 0.00207788290885118 BJEIHDPM_03587 -5.119162717 8.630286548 -25.35167452 6.51773955159259e-29 9.19959767885084e-27 WP_005767015.1 -0.0111074855827885 0.530929158451747
WP_011104970.1 152.52075643146 0.128759406107061 0.535747525890434 0.716207732696187 WP_011104970.1 0.00209101423572945 0.00209101423572945 BJEIHDPM_02988 -5.380328786 8.794520617 -25.25925399 7.64037710061425e-29 1.04760484873851e-26 WP_011104970.1 0.00156577577743302 1.09335310708588
WP_011103295.1 389.715253387617 0.428828592848566 0.217270051340334 0.423811462426606 WP_011103295.1 0.00255304103128396 0.00255304103128396 BJEIHDPM_02786 -5.238192876 9.108658528 -25.17662302 8.81064178345446e-29 1.17450749774439e-26 WP_011103295.1 0.00521476017678021 1.34614012435066
WP_011105330.1 50.9628175935395 -0.511105187434808 0.149099014893808 0.34222597873756 WP_011105330.1 0.00104643205541651 0.00104643205541651 BJEIHDPM_01483 -4.889944232 8.278297733 -25.14302139 9.33740874260553e-29 1.20672555954742e-26 WP_011105330.1 -0.00621528280070175 0.70168470106055
WP_046463799.1 148.90746171556 0.78195990547651 0.00137378787420649 0.0150555299427252 WP_046463799.1 0.00152450100255869 0.00152450100255869 BJEIHDPM_03057 -5.124664274 8.422943585 -25.12968817 9.55523468697689e-29 1.20672555954742e-26 WP_046463799.1 0.00950900532968358 1.71946518546706
WP_005763647.1 100.347857870638 0.380630637743661 0.0446455237249966 0.163348473238425 WP_005763647.1 0.00134644160376841 0.00134644160376841 BJEIHDPM_01425 -5.246398802 8.53856401 -25.05332134 1.09066546954538e-28 1.30852589708707e-26 WP_005763647.1 0.00462865005941671 1.30191082855342
WP_011103871.1 157.662965007261 0.466730815795786 0.0120481543398299 0.0680816340472928 WP_011103871.1 0.00178742202600727 0.00178742202600727 BJEIHDPM_03771 -5.217219386 8.533405584 -24.98595466 1.22601808334454e-28 1.43503921511474e-26 WP_011103871.1 0.00567566928156653 1.38197432779712
WP_011103167.1 73.8526430336626 -0.254257228009369 0.133259649915067 0.31839218368969 WP_011103167.1 0.0013216161076867 0.0013216161076867 BJEIHDPM_02351 -5.204440343 8.357175328 -24.93678101 1.33553880694818e-28 1.52601207965341e-26 WP_011103167.1 -0.00309188913564353 0.838418683686975
WP_011105560.1 74.074545125151 1.04326181260593 0.000367970278603745 0.00579634598154571 WP_011105560.1 0.000783389973054432 0.000783389973054432 BJEIHDPM_01780 -5.102917705 7.796448559 -24.84801758 1.55917157846725e-28 1.74010800117775e-26 WP_011105560.1 0.0126865611226958 2.06088187116336
WP_032643380.1 28.6897914730028 0.2141446960813 0.509861586069981 0.698010725271795 WP_032643380.1 0.000376242027247967 0.000376242027247967 BJEIHDPM_05220 4.642786814 9.306915128 24.61684263 2.33874884163868e-28 2.43002468182037e-26 WP_032643380.1 0.00260410161965999 1.16001599326497
WP_046463895.1 54.8918267131971 -0.365635848370735 0.152747958731864 0.344532920600288 WP_046463895.1 0.00108017398366606 0.00108017398366606 BJEIHDPM_01368 -5.280955004 8.136700183 -24.60668363 2.38097299197366e-28 2.43002468182037e-26 WP_046463895.1 -0.0044463062703477 0.776126732225434
WP_011103696.1 23.2461375931062 -2.33277759360022 1.19588545565024e-09 1.25216241826908e-07 WP_011103696.1 0.000943675257892132 0.000943675257892132 BJEIHDPM_03394 5.186804701 10.07324958 24.59499193 2.43053104245422e-28 2.43002468182037e-26 WP_011103696.1 -0.0283676879276738 0.198501581451331
WP_011103479.1 118.371423058217 0.625725860466094 0.00500638431576511 0.0377984890072597 WP_011103479.1 0.00146754714925212 0.00146754714925212 BJEIHDPM_00793 -5.195080752 8.390763812 -24.2230273 4.7017520990998e-28 4.33917467761152e-26 WP_011103479.1 0.00760912484185121 1.54298695029392
WP_007244442.1 53.1128405426748 -0.385393360530844 0.0873971491261749 0.244899786954685 WP_007244442.1 0.000980961996132523 0.000980961996132523 BJEIHDPM_02414 -5.614014687 7.703954813 -24.14616468 5.39440855563564e-28 4.88448427518782e-26 WP_007244442.1 -0.0046865670396224 0.765570232201737
WP_011105326.1 42.1564251112196 -1.28087702561939 2.24477193732936e-05 0.000707202486450667 WP_011105326.1 0.00142841916786737 0.00142841916786737 BJEIHDPM_01474 -5.063214183 8.829266344 -24.12380001 5.61488166366014e-28 4.89923947343727e-26 WP_011105326.1 -0.0155760754202121 0.41154525099202
WP_005762981.1 100.406415784663 0.869896467891013 0.0062786643639361 0.0431506662849662 WP_005762981.1 0.000830503218568172 0.000830503218568172 BJEIHDPM_01303 -5.654515774 7.748742141 -23.89629073 8.45474004417379e-28 6.99556852965345e-26 WP_005762981.1 0.0105783558613633 1.82753174661142
