Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	15	15
OG0000001	21	21
OG0000002	11	11
OG0000003	19	19
OG0000004	8	8
OG0000005	7	7
OG0000006	6	6
OG0000007	8	8
OG0000008	6	6
OG0000009	5	5
OG0000010	5	5
OG0000011	4	4
OG0000012	6	6
OG0000013	5	5
OG0000014	4	4
OG0000015	4	4
OG0000016	5	5
OG0000017	4	4
OG0000018	4	4
OG0000019	3	3
OG0000020	4	4
OG0000021	4	4
OG0000022	5	5
OG0000023	4	4
OG0000024	7	7
OG0000025	7	7
OG0000026	4	4
OG0000027	3	3
OG0000028	3	3
OG0000029	4	4
OG0000030	3	3
OG0000031	5	5
OG0000032	3	3
OG0000033	4	4
OG0000034	3	3
OG0000035	4	4
OG0000036	3	3
OG0000037	4	4
OG0000038	5	5
OG0000039	6	6
OG0000040	6	6
OG0000041	6	6
OG0000042	6	6
OG0000043	2	2
OG0000044	3	3
OG0000045	3	3
OG0000046	3	3
OG0000047	5	5
OG0000048	2	2
OG0000049	2	2
OG0000050	3	3
OG0000051	3	3
OG0000052	2	2
OG0000053	3	3
OG0000054	3	3
OG0000055	4	4
OG0000056	2	2
OG0000057	5	5
OG0000058	2	2
OG0000059	5	5
OG0000060	4	4
OG0000061	3	3
OG0000062	3	3
OG0000063	3	3
OG0000064	3	3
OG0000065	2	2
OG0000066	2	2
OG0000067	3	3
OG0000068	2	2
OG0000069	2	2
OG0000070	3	3
OG0000071	4	4
OG0000072	2	2
OG0000073	2	2
OG0000074	2	2
OG0000075	2	2
OG0000076	2	2
OG0000077	2	2
OG0000078	2	2
OG0000079	2	2
OG0000080	2	2
OG0000081	2	2
OG0000082	3	3
OG0000083	2	2
OG0000084	2	2
OG0000085	3	3
OG0000086	3	3
OG0000087	2	2
OG0000088	2	2
OG0000089	2	2
OG0000090	2	2
OG0000091	2	2
OG0000092	2	2
OG0000093	3	3
OG0000094	2	2
OG0000095	3	3
OG0000096	3	3
OG0000097	2	2
OG0000098	2	2
OG0000099	2	2
OG0000100	2	2
OG0000101	2	2
OG0000102	2	2
OG0000103	2	2
OG0000104	3	3
OG0000105	2	2
OG0000106	2	2
OG0000107	2	2
OG0000108	2	2
OG0000109	2	2
OG0000110	4	4
OG0000111	4	4
OG0000112	4	4
OG0000113	1	1
OG0000114	1	1
OG0000115	1	1
OG0000116	1	1
OG0000117	1	1
OG0000118	2	2
OG0000119	2	2
OG0000120	1	1
OG0000121	1	1
OG0000122	2	2
OG0000123	2	2
OG0000124	2	2
OG0000125	2	2
OG0000126	1	1
OG0000127	1	1
OG0000128	1	1
OG0000129	1	1
OG0000130	1	1
OG0000131	2	2
OG0000132	1	1
OG0000133	2	2
OG0000134	1	1
OG0000135	1	1
OG0000136	1	1
OG0000137	1	1
OG0000138	1	1
OG0000139	2	2
OG0000140	2	2
OG0000141	2	2
OG0000142	2	2
OG0000143	1	1
OG0000144	2	2
OG0000145	2	2
OG0000146	1	1
OG0000147	3	3
OG0000148	1	1
OG0000149	1	1
OG0000150	1	1
OG0000151	1	1
OG0000152	1	1
OG0000153	1	1
OG0000154	1	1
OG0000155	2	2
OG0000156	1	1
OG0000157	2	2
OG0000158	2	2
OG0000159	1	1
OG0000160	1	1
OG0000161	2	2
OG0000162	1	1
OG0000163	1	1
OG0000164	1	1
OG0000165	1	1
OG0000166	1	1
OG0000167	1	1
OG0000168	2	2
OG0000169	1	1
OG0000170	1	1
OG0000171	1	1
OG0000172	1	1
OG0000173	2	2
OG0000174	1	1
OG0000175	2	2
OG0000176	1	1
OG0000177	1	1
OG0000178	1	1
OG0000179	1	1
OG0000180	1	1
OG0000181	1	1
OG0000182	2	2
OG0000183	1	1
OG0000184	2	2
OG0000185	1	1
OG0000186	1	1
OG0000187	1	1
OG0000188	2	2
OG0000189	2	2
OG0000190	1	1
OG0000191	1	1
OG0000192	1	1
OG0000193	1	1
OG0000194	2	2
OG0000195	1	1
OG0000196	1	1
OG0000197	1	1
OG0000198	2	2
OG0000199	1	1
OG0000200	1	1
OG0000201	1	1
OG0000202	2	2
OG0000203	1	1
OG0000204	2	2
OG0000205	1	1
OG0000206	3	3
OG0000207	2	2
OG0000208	1	1
OG0000209	2	2
OG0000210	2	2
OG0000211	1	1
OG0000212	2	2
OG0000213	1	1
OG0000214	2	2
OG0000215	2	2
OG0000216	3	3
OG0000217	1	1
OG0000218	2	2
OG0000219	2	2
OG0000220	1	1
OG0000221	1	1
OG0000222	2	2
OG0000223	1	1
OG0000224	1	1
OG0000225	1	1
OG0000226	1	1
OG0000227	2	2
OG0000228	1	1
OG0000229	1	1
OG0000230	1	1
OG0000231	2	2
OG0000232	2	2
OG0000233	1	1
OG0000234	1	1
OG0000235	1	1
OG0000236	2	2
OG0000237	2	2
OG0000238	1	1
OG0000239	2	2
OG0000240	1	1
OG0000241	1	1
OG0000242	1	1
OG0000243	2	2
OG0000244	1	1
OG0000245	1	1
OG0000246	1	1
OG0000247	1	1
OG0000248	2	2
OG0000249	2	2
OG0000250	1	1
OG0000251	1	1
OG0000252	2	2
OG0000253	1	1
OG0000254	2	2
OG0000255	2	2
OG0000256	3	3
OG0000257	3	3
