"p25_DAK","DC3000","Orthogroup_Match"
"DAKCFMEO_01263","WP_002551315.1",TRUE
"DAKCFMEO_05162","WP_002551397.1",TRUE
"DAKCFMEO_05211","WP_002551454.1",TRUE
"DAKCFMEO_01837","WP_002551500.1",TRUE
"DAKCFMEO_01845","WP_002551508.1",TRUE
"DAKCFMEO_01851","WP_002551514.1",TRUE
"DAKCFMEO_01852","WP_002551515.1",TRUE
"DAKCFMEO_01956","WP_002551560.1",TRUE
"DAKCFMEO_01967","WP_002551568.1",TRUE
"DAKCFMEO_01972","WP_002551573.1",TRUE
"DAKCFMEO_05096","WP_002551616.1",TRUE
"DAKCFMEO_02133","WP_002551711.1",TRUE
"DAKCFMEO_05002","WP_002551738.1",TRUE
"DAKCFMEO_04892","WP_002551819.1",TRUE
"DAKCFMEO_04881","WP_002551828.1",TRUE
"DAKCFMEO_04880","WP_002551829.1",TRUE
"DAKCFMEO_04866","WP_002551844.1",TRUE
"DAKCFMEO_02868","WP_002551877.1",TRUE
"DAKCFMEO_02807","WP_002551946.1",TRUE
"DAKCFMEO_02800","WP_002551953.1",TRUE
"DAKCFMEO_00541","WP_002551972.1",TRUE
"DAKCFMEO_01662","WP_002552060.1",TRUE
"DAKCFMEO_01647","WP_002552075.1",TRUE
"DAKCFMEO_03443","WP_002552145.1",TRUE
"DAKCFMEO_03389","WP_002552194.1",TRUE
"DAKCFMEO_03291","WP_002552279.1",TRUE
"DAKCFMEO_03331","WP_002552468.1",TRUE
"DAKCFMEO_03346","WP_002552482.1",TRUE
"DAKCFMEO_03261","WP_002552524.1",TRUE
"DAKCFMEO_04200","WP_002552552.1",TRUE
"DAKCFMEO_04202","WP_002552554.1",TRUE
"DAKCFMEO_04157","WP_002552611.1",TRUE
"DAKCFMEO_04191","WP_002552653.1",TRUE
"DAKCFMEO_04245","WP_002552688.1",TRUE
"DAKCFMEO_04341","WP_002552729.1",TRUE
"DAKCFMEO_04350","WP_002552734.1",TRUE
"DAKCFMEO_04353","WP_002552737.1",TRUE
"DAKCFMEO_04534","WP_002552818.1",TRUE
"DAKCFMEO_02621","WP_002552853.1",TRUE
"DAKCFMEO_00650","WP_002552981.1",TRUE
"DAKCFMEO_00710","WP_002553016.1",TRUE
"DAKCFMEO_00712","WP_002553018.1",TRUE
"DAKCFMEO_00809","WP_002553156.1",TRUE
"DAKCFMEO_00813","WP_002553160.1",TRUE
"DAKCFMEO_00814","WP_002553161.1",TRUE
"DAKCFMEO_00817","WP_002553164.1",TRUE
"DAKCFMEO_03718","WP_002553665.1",TRUE
"DAKCFMEO_01408","WP_002553918.1",TRUE
"DAKCFMEO_01496","WP_002553978.1",TRUE
"DAKCFMEO_01530","WP_002554011.1",TRUE
"DAKCFMEO_01531","WP_002554012.1",TRUE
"DAKCFMEO_04682","WP_002554100.1",TRUE
"DAKCFMEO_04624","WP_002554157.1",TRUE
"DAKCFMEO_04561","WP_002554192.1",TRUE
"DAKCFMEO_02556","WP_002554262.1",TRUE
"DAKCFMEO_02541","WP_002554277.1",TRUE
"DAKCFMEO_02531","WP_002554288.1",TRUE
"DAKCFMEO_02528","WP_002554291.1",TRUE
"DAKCFMEO_02522","WP_002554297.1",TRUE
"DAKCFMEO_02509","WP_002554310.1",TRUE
"DAKCFMEO_02504","WP_002554316.1",TRUE
"DAKCFMEO_02406","WP_002554423.1",TRUE
"DAKCFMEO_02400","WP_002554426.1",TRUE
"DAKCFMEO_04319","WP_002554476.1",TRUE
"DAKCFMEO_04303","WP_002554489.1",TRUE
"DAKCFMEO_02327","WP_002554553.1",TRUE
"DAKCFMEO_02318","WP_002554561.1",TRUE
"DAKCFMEO_02317","WP_002554562.1",TRUE
"DAKCFMEO_03124","WP_002554651.1",TRUE
"DAKCFMEO_03128","WP_002554655.1",TRUE
"DAKCFMEO_03190","WP_002554721.1",TRUE
"DAKCFMEO_03197","WP_002554728.1",TRUE
"DAKCFMEO_00145","WP_002554837.1",TRUE
"DAKCFMEO_00151","WP_002554843.1",TRUE
"DAKCFMEO_00159","WP_002554851.1",TRUE
"DAKCFMEO_00305","WP_002554971.1",TRUE
"DAKCFMEO_00368","WP_002555020.1",TRUE
"DAKCFMEO_00416","WP_002555064.1",TRUE
"DAKCFMEO_00463","WP_002555108.1",TRUE
"DAKCFMEO_00464","WP_002555109.1",TRUE
"DAKCFMEO_01679","WP_002555121.1",TRUE
"DAKCFMEO_01701","WP_002555142.1",TRUE
"DAKCFMEO_00545","WP_002555214.1",TRUE
"DAKCFMEO_03650","WP_002555356.1",TRUE
"DAKCFMEO_03636","WP_002555369.1",TRUE
"DAKCFMEO_03635","WP_002555370.1",TRUE
"DAKCFMEO_03630","WP_002555375.1",TRUE
"DAKCFMEO_03570","WP_002555427.1",TRUE
"DAKCFMEO_03531","WP_002555464.1",TRUE
"DAKCFMEO_03530","WP_002555465.1",TRUE
"DAKCFMEO_03529","WP_002555466.1",TRUE
"DAKCFMEO_03528","WP_002555467.1",TRUE
"DAKCFMEO_03527","WP_002555469.1",TRUE
"DAKCFMEO_03526","WP_002555470.1",TRUE
"DAKCFMEO_03525","WP_002555471.1",TRUE
"DAKCFMEO_03523","WP_002555473.1",TRUE
"DAKCFMEO_03521","WP_002555475.1",TRUE
"DAKCFMEO_03520","WP_002555476.1",TRUE
"DAKCFMEO_03518","WP_002555478.1",TRUE
"DAKCFMEO_03517","WP_002555479.1",TRUE
"DAKCFMEO_03516","WP_002555480.1",TRUE
"DAKCFMEO_03515","WP_002555481.1",TRUE
"DAKCFMEO_03514","WP_002555482.1",TRUE
"DAKCFMEO_03512","WP_002555485.1",TRUE
"DAKCFMEO_03509","WP_002555488.1",TRUE
"DAKCFMEO_03508","WP_002555489.1",TRUE
"DAKCFMEO_03506","WP_002555491.1",TRUE
"DAKCFMEO_03502","WP_002555494.1",TRUE
"DAKCFMEO_03496","WP_002555500.1",TRUE
"DAKCFMEO_02914","WP_002555565.1",TRUE
"DAKCFMEO_02157","WP_002555698.1",TRUE
"DAKCFMEO_05119","WP_002555721.1",TRUE
"DAKCFMEO_05170","WP_002555745.1",TRUE
"DAKCFMEO_05186","WP_002555770.1",TRUE
"DAKCFMEO_05219","WP_002555777.1",TRUE
"DAKCFMEO_01909","WP_002555808.1",TRUE
"DAKCFMEO_05180","WP_002555947.1",TRUE
"DAKCFMEO_01252","WP_002555987.1",TRUE
"DAKCFMEO_02674","WP_002556012.1",TRUE
"DAKCFMEO_01747","WP_002556144.1",TRUE
"DAKCFMEO_03513","WP_003176422.1",TRUE
"DAKCFMEO_00371","WP_003304675.1",TRUE
"DAKCFMEO_00399","WP_003313553.1",TRUE
"DAKCFMEO_00425","WP_003313577.1",TRUE
"DAKCFMEO_03604","WP_003313894.1",TRUE
"DAKCFMEO_03136","WP_003314356.1",TRUE
"DAKCFMEO_02299","WP_003314637.1",TRUE
"DAKCFMEO_02668","WP_003315067.1",TRUE
"DAKCFMEO_02617","WP_003315128.1",TRUE
"DAKCFMEO_04092","WP_003315315.1",TRUE
"DAKCFMEO_00777","WP_003315600.1",TRUE
"DAKCFMEO_04680","WP_003315798.1",TRUE
"DAKCFMEO_03524","WP_003317099.1",TRUE
"DAKCFMEO_03497","WP_003317112.1",TRUE
"DAKCFMEO_03495","WP_003317113.1",TRUE
