Orthogroup	DC3000_protein_12_2025	plate25.C2.annotation
OG0004126	WP_002551322.1	
OG0004127	WP_002551444.1	
OG0004128	WP_002551687.1	
OG0004129	WP_002553055.1	
OG0004130	WP_002555468.1	
OG0004131	WP_002556002.1	
OG0004132	WP_002556137.1	
OG0004133	WP_003317535.1	
OG0004134	WP_003317536.1	
OG0004135	WP_003317538.1	
OG0004136	WP_003319098.1	
OG0004137	WP_003344294.1	
OG0004138	WP_003344343.1	
OG0004139	WP_003344373.1	
OG0004140	WP_003344389.1	
OG0004141	WP_003347741.1	
OG0004142	WP_003347742.1	
OG0004143	WP_003376191.1	
OG0004144	WP_003377395.1	
OG0004145	WP_003377401.1	
OG0004146	WP_003379963.1	
OG0004147	WP_003380366.1	
OG0004148	WP_003381346.1	
OG0004149	WP_003422658.1	
OG0004150	WP_004396478.1	
OG0004151	WP_004662733.1	
OG0004152	WP_004666649.1	
OG0004153	WP_004666803.1	
OG0004154	WP_004666922.1	
OG0004155	WP_004667395.1	
OG0004156	WP_005613797.1	
OG0004157	WP_005614684.1	
OG0004158	WP_005622131.1	
OG0004159	WP_005622158.1	
OG0004160	WP_005736349.1	
OG0004161	WP_005736632.1	
OG0004162	WP_005737305.1	
OG0004163	WP_005737444.1	
OG0004164	WP_005737537.1	
OG0004165	WP_005738577.1	
OG0004166	WP_005740043.1	
OG0004167	WP_005740683.1	
OG0004168	WP_005762378.1	
OG0004169	WP_005762380.1	
OG0004170	WP_005762383.1	
OG0004171	WP_005762385.1	
OG0004172	WP_005762387.1	
OG0004173	WP_005762390.1	
OG0004174	WP_005762727.1	
OG0004175	WP_005762729.1	
OG0004176	WP_005762734.1	
OG0004177	WP_005762833.1	
OG0004178	WP_005762840.1	
OG0004179	WP_005763125.1	
OG0004180	WP_005763290.1	
OG0004181	WP_005763877.1	
OG0004182	WP_005763882.1	
OG0004183	WP_005763889.1	
OG0004184	WP_005763896.1	
OG0004185	WP_005763919.1	
OG0004186	WP_005763932.1	
OG0004187	WP_005763934.1	
OG0004188	WP_005763941.1	
OG0004189	WP_005763969.1	
OG0004190	WP_005763971.1	
OG0004191	WP_005763983.1	
OG0004192	WP_005764124.1	
OG0004193	WP_005764277.1	
OG0004194	WP_005764401.1	
OG0004195	WP_005764430.1	
OG0004196	WP_005764582.1	
OG0004197	WP_005764687.1	
OG0004198	WP_005764692.1	
OG0004199	WP_005764938.1	
OG0004200	WP_005765281.1	
