Entry	RefSeq	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length	Proteomes	Organism (ID)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology IDs
Q52473	NP_791208.1;WP_005763904.1;	HRPA_PSESM	reviewed	Hrp pili protein HrpA (T3SS pilin HrpA)	hrpA hrpA1 PSPTO_1381	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	113	UP000002515: Chromosome	223283		extracellular space [GO:0005615]; pilus [GO:0009289]		extracellular space [GO:0005615]; pilus [GO:0009289]	GO:0005615; GO:0009289
Q79LY0	NP_794465.1;WP_011105134.1;	HOPD2_PSESM	reviewed	Effector protein hopD2 (EC 3.1.3.48) (Tyrosine-protein phosphatase hopPtoD2)	hopD2 hopA01 hopPtoD2 PSPTO_4722	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	468	UP000002515: Chromosome	223283	symbiont-mediated perturbation of host programmed cell death [GO:0052040]	extracellular region [GO:0005576]	protein tyrosine phosphatase activity [GO:0004725]	extracellular region [GO:0005576]; protein tyrosine phosphatase activity [GO:0004725]; symbiont-mediated perturbation of host programmed cell death [GO:0052040]	GO:0004725; GO:0005576; GO:0052040
Q87ZB2	NP_793297.1;WP_011104595.1;	FADB_PSESM	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB PSPTO_3517	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	721	UP000002515: Chromosome	223283	fatty acid beta-oxidation [GO:0006635]	fatty acid beta-oxidation multienzyme complex [GO:0036125]	3-hydroxybutyryl-CoA epimerase activity [GO:0008692]; delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; enoyl-CoA hydratase activity [GO:0004300]; long-chain-3-hydroxyacyl-CoA dehydrogenase activity [GO:0016509]; NAD+ binding [GO:0070403]	fatty acid beta-oxidation multienzyme complex [GO:0036125]; 3-hydroxybutyryl-CoA epimerase activity [GO:0008692]; delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; enoyl-CoA hydratase activity [GO:0004300]; long-chain-3-hydroxyacyl-CoA dehydrogenase activity [GO:0016509]; NAD+ binding [GO:0070403]; fatty acid beta-oxidation [GO:0006635]	GO:0004165; GO:0004300; GO:0006635; GO:0008692; GO:0016509; GO:0036125; GO:0070403
Q887C9	NP_791204.1;WP_011103532.1;	AVRE_PSESM	reviewed	Type III effector AvrE (Avirulence protein E)	avrE avrE1 PSPTO_1377	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	1795	UP000002515: Chromosome	223283		extracellular region [GO:0005576]; host cell [GO:0043657]; host cell plasma membrane [GO:0020002]; membrane [GO:0016020]		extracellular region [GO:0005576]; host cell [GO:0043657]; host cell plasma membrane [GO:0020002]; membrane [GO:0016020]	GO:0005576; GO:0016020; GO:0020002; GO:0043657
Q887Q3	NP_791068.1;WP_011103483.1;	ALGG_PSESM	reviewed	Mannuronan C5-epimerase (EC 5.1.3.37) (Alginate epimerase) (Poly(beta-D-mannuronate) C5 epimerase)	algG PSPTO_1238	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	536	UP000002515: Chromosome	223283	alginic acid biosynthetic process [GO:0042121]	periplasmic space [GO:0042597]	isomerase activity [GO:0016853]	periplasmic space [GO:0042597]; isomerase activity [GO:0016853]; alginic acid biosynthetic process [GO:0042121]	GO:0016853; GO:0042121; GO:0042597
Q8RSY1	NP_792881.1;WP_011104378.1;	HPAB2_PSESM	reviewed	Effector protein HopAB2 (Avirulence protein AvrPtoB) [Includes: E3 ubiquitin-protein ligase (EC 2.3.2.-) (E3 ubiquitin-protein transferase)]	hopAB2 avrPtoB PSPTO_3087	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	553	UP000002515: Chromosome	223283	effector-mediated suppression of host pattern-triggered immunity [GO:0052034]; symbiont-mediated perturbation of host programmed cell death [GO:0052040]	extracellular region [GO:0005576]	transferase activity [GO:0016740]	extracellular region [GO:0005576]; transferase activity [GO:0016740]; effector-mediated suppression of host pattern-triggered immunity [GO:0052034]; symbiont-mediated perturbation of host programmed cell death [GO:0052040]	GO:0005576; GO:0016740; GO:0052034; GO:0052040
P52832	NP_795058.1;WP_011105426.1;	GPMI_PSESM	reviewed	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)	gpmI gpmA pgm PSPTO_5327	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	510	UP000002515: Chromosome	223283	glucose catabolic process [GO:0006007]; glycolytic process [GO:0006096]	cytosol [GO:0005829]	manganese ion binding [GO:0030145]; phosphoglycerate mutase activity [GO:0004619]	cytosol [GO:0005829]; manganese ion binding [GO:0030145]; phosphoglycerate mutase activity [GO:0004619]; glucose catabolic process [GO:0006007]; glycolytic process [GO:0006096]	GO:0004619; GO:0005829; GO:0006007; GO:0006096; GO:0030145
P80923	NP_793604.1;WP_003381096.1;	ACP_PSESM	reviewed	Acyl carrier protein (ACP)	acpP PSPTO_3831	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	78	UP000002515: Chromosome	223283	lipid A biosynthetic process [GO:0009245]	cytosol [GO:0005829]; membrane [GO:0016020]	acyl binding [GO:0000035]; acyl carrier activity [GO:0000036]; phosphopantetheine binding [GO:0031177]	cytosol [GO:0005829]; membrane [GO:0016020]; acyl binding [GO:0000035]; acyl carrier activity [GO:0000036]; phosphopantetheine binding [GO:0031177]; lipid A biosynthetic process [GO:0009245]	GO:0000035; GO:0000036; GO:0005829; GO:0009245; GO:0016020; GO:0031177
Q877R9	NP_790858.1;NP_808666.1;WP_005770909.1;	HOPAM_PSESM	reviewed	3' cyclic ADP-D-ribose synthase HopAM1 (3'cADPR synthase HopAM1) (EC 3.2.2.-) (NAD(+) hydrolase HopAM1) (HopAM1)	hopAM1-1 hopAM1-2 PSPTO_1022 PSPTO_A0005	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	276	UP000002515: Chromosome; UP000002515: Plasmid pDC3000A	223283		host cell cytosol [GO:0044164]	hydrolase activity [GO:0016787]	host cell cytosol [GO:0044164]; hydrolase activity [GO:0016787]	GO:0016787; GO:0044164
Q87TT6	NP_795315.1;WP_011105590.1;	GLMU_PSESM	reviewed	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU PSPTO_5597	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	455	UP000002515: Chromosome	223283	cell morphogenesis [GO:0000902]; cell wall organization [GO:0071555]; lipid A biosynthetic process [GO:0009245]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	cytoplasm [GO:0005737]; membrane [GO:0016020]	glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; magnesium ion binding [GO:0000287]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]	cytoplasm [GO:0005737]; membrane [GO:0016020]; glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; magnesium ion binding [GO:0000287]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]; cell morphogenesis [GO:0000902]; cell wall organization [GO:0071555]; lipid A biosynthetic process [GO:0009245]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	GO:0000287; GO:0000902; GO:0003977; GO:0005737; GO:0006048; GO:0008360; GO:0009245; GO:0009252; GO:0016020; GO:0019134; GO:0071555
