,Time in tree,Genetic_Diversity,Num_gene_events,GC_content
DAKCFMEO_04835,7.652399999999999,0.04,0.0,NULL
DAKCFMEO_00442,7.652399999999999,0.033,0.0,NULL
DAKCFMEO_01658,7.652399999999999,0.068,0.0,NULL
DAKCFMEO_01522,7.652399999999999,0.055,0.0,NULL
DAKCFMEO_01651,7.652399999999999,0.065,0.0,NULL
DAKCFMEO_01689,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_02943,7.652399999999999,0.069,0.0,NULL
DAKCFMEO_01668,7.652399999999999,0.058,0.0,NULL
DAKCFMEO_02542,7.652399999999999,0.058,0.0,NULL
DAKCFMEO_03290,7.652399999999999,0.037,0.0,NULL
DAKCFMEO_02746,7.652399999999999,0.055,0.0,NULL
DAKCFMEO_02780,7.652399999999999,0.073,0.0,NULL
DAKCFMEO_03404,7.652399999999999,0.047,0.0,NULL
DAKCFMEO_02737,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_02159,7.652399999999999,0.035,0.0,NULL
DAKCFMEO_03550,7.652399999999999,0.063,0.0,NULL
DAKCFMEO_01166,7.652399999999999,0.053,0.0,NULL
DAKCFMEO_04861,7.652399999999999,0.065,0.0,NULL
DAKCFMEO_03633,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_02458,7.652399999999999,0.07,0.0,NULL
DAKCFMEO_02567,7.652399999999999,0.06,0.0,NULL
DAKCFMEO_03535,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_02217,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_03200,7.652399999999999,0.041,0.0,NULL
DAKCFMEO_01172,7.652399999999999,0.084,0.0,NULL
DAKCFMEO_04182,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_00299,7.652399999999999,0.036,0.0,NULL
DAKCFMEO_02604,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_02755,7.652399999999999,0.068,0.0,NULL
DAKCFMEO_01695,7.652399999999999,0.034,0.0,NULL
DAKCFMEO_02625,7.652399999999999,0.052,0.0,NULL
DAKCFMEO_02662,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_01125,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_01038,7.652399999999999,0.059,0.0,NULL
DAKCFMEO_04815,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_02729,7.652399999999999,0.036,0.0,NULL
DAKCFMEO_02747,7.652399999999999,0.055,0.0,NULL
DAKCFMEO_02935,7.652399999999999,0.058,0.0,NULL
DAKCFMEO_05261,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_05208,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_05207,7.652399999999999,0.04,0.0,NULL
DAKCFMEO_00137,7.652399999999999,0.032,0.0,NULL
DAKCFMEO_05230,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_01952,7.652399999999999,0.049,0.0,NULL
DAKCFMEO_05080,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_04114,7.652399999999999,0.074,0.0,NULL
DAKCFMEO_04505,7.652399999999999,0.06,0.0,NULL
DAKCFMEO_00775,7.652399999999999,0.064,0.0,NULL
DAKCFMEO_00308,7.652399999999999,0.062,0.0,NULL
DAKCFMEO_00428,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_01560,7.652399999999999,0.055,0.0,NULL
DAKCFMEO_04999,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_01879,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_04223,7.652399999999999,0.061,0.0,NULL
DAKCFMEO_05031,7.652399999999999,0.068,0.0,NULL
DAKCFMEO_03265,7.652399999999999,0.028,0.0,NULL
DAKCFMEO_04319,7.652399999999999,0.036,0.0,NULL
DAKCFMEO_00311,7.652399999999999,0.046,0.0,NULL
