qseqid,sseqid,pident,alen,qlen,slen,evalue,bits,cov_q,cov_s
WP_002551315.1,DAKCFMEO_01263,100.0,44,44,44,1.5e-17,82.0,1,1
WP_002551397.1,DAKCFMEO_05162,95.0,60,60,60,8.0e-25,106.7,1,1
WP_002551454.1,DAKCFMEO_05211,99.0,197,197,197,2.6e-112,399.1,1,1
WP_002551500.1,DAKCFMEO_01837,96.6,87,87,87,7.2e-43,167.2,1,1
WP_002551508.1,DAKCFMEO_01845,94.4,301,301,301,3.3e-159,555.4,1,1
WP_002551514.1,DAKCFMEO_01851,100.0,77,77,77,5.1e-40,157.5,1,1
WP_002551515.1,DAKCFMEO_01852,98.0,51,51,51,3.4e-24,104.4,1,1
WP_002551560.1,DAKCFMEO_01956,99.3,419,419,419,1.2e-236,813.1,1,1
WP_002551568.1,DAKCFMEO_01967,97.8,135,135,134,1.3e-67,250.0,1,1.00746
WP_002551568.1,DAKCFMEO_02536,36.1,108,135,166,1.7e-11,63.5,0.8,0.650602
WP_002551573.1,DAKCFMEO_01972,92.8,69,69,69,1.2e-27,116.3,1,1
WP_002551616.1,DAKCFMEO_05096,96.4,84,84,84,1.7e-41,162.5,1,1
WP_002551711.1,DAKCFMEO_02133,95.4,131,131,131,2.3e-69,255.8,1,1
WP_002551738.1,DAKCFMEO_05002,94.1,135,136,136,2.4e-69,255.8,0.992647,0.992647
WP_002551738.1,DAKCFMEO_02882,36.5,115,136,122,8.7e-19,87.8,0.845588,0.942623
WP_002551738.1,DAKCFMEO_05001,31.1,119,136,121,1.3e-14,73.9,0.875,0.983471
WP_002551819.1,DAKCFMEO_04892,100.0,86,86,86,1.9e-43,169.1,1,1
WP_002551828.1,DAKCFMEO_04881,99.1,109,141,141,8.1e-60,224.2,0.77305,0.77305
WP_002551829.1,DAKCFMEO_04880,100.0,76,76,76,6.1e-38,150.6,1,1
WP_002551844.1,DAKCFMEO_04866,98.7,304,304,304,1.9e-162,566.2,1,1
WP_002551844.1,DAKCFMEO_00096,51.5,301,304,307,2.6e-79,290.0,0.990132,0.980456
WP_002551844.1,DAKCFMEO_00832,30.1,292,304,300,1.3e-27,118.2,0.960526,0.973333
WP_002551877.1,DAKCFMEO_02868,100.0,71,71,71,2.7e-32,131.7,1,1
WP_002551946.1,DAKCFMEO_02807,99.2,264,264,264,3.2e-150,525.4,1,1
WP_002551953.1,DAKCFMEO_02800,98.3,116,116,116,8.4e-63,233.8,1,1
WP_002551953.1,DAKCFMEO_03341,40.9,110,116,107,4.5e-16,78.6,0.948276,1.02804
WP_002551972.1,DAKCFMEO_00541,100.0,91,91,91,1.0e-47,183.3,1,1
WP_002552060.1,DAKCFMEO_01662,98.3,58,58,58,4.4e-28,117.5,1,1
WP_002552075.1,DAKCFMEO_01647,98.8,163,163,163,7.9e-83,300.8,1,1
WP_002552145.1,DAKCFMEO_03443,100.0,310,313,310,7.1e-173,600.9,0.990415,1
WP_002552194.1,DAKCFMEO_03389,98.4,127,127,127,1.7e-69,256.1,1,1
WP_002552194.1,DAKCFMEO_01835,33.3,123,127,126,5.7e-12,65.1,0.968504,0.97619
WP_002552279.1,DAKCFMEO_03291,96.8,93,93,93,2.4e-44,172.2,1,1
WP_002552279.1,DAKCFMEO_04353,42.2,90,93,90,1.7e-13,69.7,0.967742,1
