WP_RefSeq PSPTO uniprot
WP_011102932.1 PSPTO0001 Q88BK3
WP_005768226.1 PSPTO0002 Q88BK2
WP_003377871.1 PSPTO0003 Q88BK1
WP_005768224.1 PSPTO0004 Q88BK0
WP_161797786.1 PSPTO0005 Q88BJ9
WP_226992673.1 PSPTO0006 Q88BJ8
WP_011102935.1 PSPTO0007 Q88BJ7
WP_011102936.1 PSPTO0008 Q88BJ6
WP_004667395.1 PSPTO0009 Q877Q5
WP_011102938.1 PSPTO0011 Q88BJ5
WP_011102939.1 PSPTO0012 Q88BJ4
WP_011102940.1 PSPTO0013 Q88BJ3
WP_046463578.1 PSPTO0014 Q88BJ2
WP_011102942.1 PSPTO0015 Q88BJ1
WP_046463577.1 PSPTO0016 Q88BJ0
WP_161797787.1 PSPTO0017 Q88BI9
WP_005741073.1 PSPTO0018 NA
WP_002551322.1 PSPTO0019 NA
WP_011102945.1 PSPTO0020 Q88BI8
WP_011102946.1 PSPTO0021 Q88BI7
WP_200836483.1 PSPTO0022 Q88BI6
WP_011102948.1 PSPTO0023 Q88BI5
WP_011102949.1 PSPTO0024 Q88BI4
WP_011102950.1 PSPTO0025 Q88BI3
WP_011102951.1 PSPTO0026 Q88BI2
WP_011102952.1 PSPTO0027 Q88BI1
WP_011102953.1 PSPTO0028 Q88BI0
WP_169790031.1 PSPTO0029 Q88BH9
WP_011102955.1 PSPTO0030 Q88BH8
WP_011102956.1 PSPTO0031 Q88BH7
WP_011102957.1 PSPTO0032 Q88BH6
WP_011102958.1 PSPTO0033 Q88BH5
WP_011102959.1 PSPTO0034 NA
WP_003409202.1 PSPTO0035 NA
WP_003409203.1 PSPTO0036 NA
WP_011102960.1 PSPTO0037 Q88BH4
WP_011102961.1 PSPTO0038 Q88BH3
WP_003409202.1 PSPTO0039 NA
WP_003409203.1 PSPTO0040 NA
 partial;pseudo;PSPTO0042 NA
WP_011102963.1 PSPTO0043 Q88BH1
WP_226992674.1 PSPTO0044 Q88BH0
WP_011102966.1 PSPTO0046 Q88BG8
WP_011102967.1 PSPTO0047 Q88BG7
WP_011102968.1 PSPTO0048 Q88BG6
WP_011102969.1 PSPTO0049 Q88BG5
WP_011102970.1 PSPTO0050 Q88BG4
WP_011102971.1 PSPTO0051 Q88BG3
WP_011102972.1 PSPTO0052 Q88BG2
WP_002551322.1 PSPTO0055 NA
WP_005741073.1 PSPTO0056 NA
WP_011102975.1 PSPTO0057 Q88BF9
WP_044392641.1 PSPTO0058 Q88BF8
WP_223862839.1 PSPTO0059 Q88BF7
 partial;pseudo;PSPTO0060 NA
WP_005769591.1 PSPTO0061 Q88BF6
WP_005769588.1 PSPTO0062 Q88BF5
WP_011102978.1 PSPTO0063 Q88BF4
WP_005769583.1 PSPTO0064 Q88BF3
WP_011102979.1 PSPTO0065 Q88BF2
WP_005769579.1 PSPTO0066 Q88BF1
WP_005613236.1 PSPTO0067 Q88BF0
WP_005613239.1 PSPTO0068 Q88BE9
WP_007246518.1 PSPTO0069 Q88BE8
WP_011102980.1 PSPTO0070 Q88BE7
WP_003377974.1 PSPTO0071 Q88BE6
WP_011102981.1 PSPTO0072 Q88BE5
WP_005769571.1 PSPTO0073 Q88BE4
WP_002551500.1 PSPTO0074 Q88BE3
WP_003377979.1 PSPTO0075 Q88BE2
WP_007246513.1 PSPTO0076 Q88BE1
WP_005769567.1 PSPTO0077 Q88BE0
WP_005769565.1 PSPTO0078 Q88BD9
WP_005613323.1 PSPTO0079 Q88BD8
WP_007246510.1 PSPTO0080 Q88BD7
WP_005769563.1 PSPTO0081 Q88BD6
WP_002551508.1 PSPTO0082 Q88BD5
WP_011102983.1 PSPTO0083 Q88BD4
WP_011102984.1 PSPTO0084 Q88BD3
WP_046463702.1 PSPTO0085 Q88BD2
WP_005769555.1 PSPTO0086 Q88BD1
WP_011102986.1 PSPTO0087 Q88BD0
WP_002551514.1 PSPTO0089 Q88BC8
WP_002551515.1 PSPTO0090 Q88BC7
WP_005769553.1 PSPTO0091 Q88BC6
WP_011102988.1 PSPTO0092 Q88BC5
WP_005769549.1 PSPTO0093 Q88BC4
WP_005769547.1 PSPTO0094 Q88BC3
WP_010208311.1 PSPTO0095 Q88BC2
WP_005769539.1 PSPTO0096 Q88BC1
WP_005769538.1 PSPTO0097 Q88BC0
WP_005769536.1 PSPTO0098 Q88BB9
WP_005769534.1 PSPTO0099 Q88BB8
WP_004655323.1 PSPTO0100 Q88BB7
WP_005769533.1 PSPTO0101 Q88BB6
WP_005769531.1 PSPTO0102 Q88BB5
WP_005769528.1 PSPTO0103 Q88BB4
WP_010208319.1 PSPTO0105 Q88BB2
WP_005769524.1 PSPTO0106 Q88BB1
WP_011102991.1 PSPTO0107 Q88BB0
WP_011102992.1 PSPTO0108 Q88BA9
WP_011102993.1 PSPTO0109 Q88BA8
WP_005769516.1 PSPTO0110 Q88BA7
WP_005769514.1 PSPTO0111 Q88BA6
WP_003378039.1 PSPTO0112 Q88BA5
WP_011102994.1 PSPTO0113 Q88BA4
WP_007247222.1 PSPTO0114 Q88BA3
WP_011102995.1 PSPTO0115 Q88BA2
WP_005769505.1 PSPTO0116 Q88BA1
WP_005769504.1 PSPTO0117 Q88BA0
WP_011102996.1 PSPTO0118 Q88B99
WP_011102997.1 PSPTO0119 Q88B98
WP_011102998.1 PSPTO0120 Q88B97
WP_007247215.1 PSPTO0121 Q88B96
WP_011103000.1 PSPTO0125 Q88B94
WP_007247213.1 PSPTO0126 Q88B93
WP_007247212.1 PSPTO0127 Q88B92
WP_011103001.1 PSPTO0128 Q88B91
WP_011103002.1 PSPTO0129 Q88B90
WP_046463328.1 PSPTO0130 Q88B89
WP_011103004.1 PSPTO0131 Q88B88
WP_005769478.1 PSPTO0132 Q88B87
WP_005738602.1 PSPTO0134 Q88B85
WP_005769477.1 PSPTO0135 Q88B84
WP_011103006.1 PSPTO0136 Q88B83
WP_005769473.1 PSPTO0137 Q88B82
WP_046463329.1 PSPTO0138 Q88B81
WP_005769469.1 PSPTO0139 Q88B80
WP_007247202.1 PSPTO0140 Q88B79
WP_011103008.1 PSPTO0141 Q88B78
