Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N0	n0	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011104418.1, plate25_C2_annotation_DAKCFMEO_01003	plate25_C2_annotation_DAKCFMEO_01033, DC3000_protein_12_2025_WP_005617775.1, plate25_C2_annotation_DAKCFMEO_01007, plate25_C2_annotation_DAKCFMEO_00584, plate25_C2_annotation_DAKCFMEO_04422, plate25_C2_annotation_DAKCFMEO_01000, DC3000_protein_12_2025_WP_011104428.1, plate25_C2_annotation_DAKCFMEO_02366, DC3000_protein_12_2025_WP_007245106.1, DC3000_protein_12_2025_WP_011104375.1, plate25_C2_annotation_DAKCFMEO_00100, plate25_C2_annotation_DAKCFMEO_04017, DC3000_protein_12_2025_WP_011104172.1, plate25_C2_annotation_DAKCFMEO_03733, plate25_C2_annotation_DAKCFMEO_03941, DC3000_protein_12_2025_WP_011104285.1, plate25_C2_annotation_DAKCFMEO_05214, plate25_C2_annotation_DAKCFMEO_04989, DC3000_protein_12_2025_WP_011104037.1, plate25_C2_annotation_DAKCFMEO_02415, DC3000_protein_12_2025_WP_011104938.1, plate25_C2_annotation_DAKCFMEO_00021, DC3000_protein_12_2025_WP_011103634.1
OG0000000	N0	n2	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_01033, DC3000_protein_12_2025_WP_005617775.1	plate25_C2_annotation_DAKCFMEO_01007, plate25_C2_annotation_DAKCFMEO_00584, plate25_C2_annotation_DAKCFMEO_04422, plate25_C2_annotation_DAKCFMEO_01000, DC3000_protein_12_2025_WP_011104428.1, plate25_C2_annotation_DAKCFMEO_02366, DC3000_protein_12_2025_WP_007245106.1, DC3000_protein_12_2025_WP_011104375.1, plate25_C2_annotation_DAKCFMEO_00100, plate25_C2_annotation_DAKCFMEO_04017, DC3000_protein_12_2025_WP_011104172.1, plate25_C2_annotation_DAKCFMEO_03733, plate25_C2_annotation_DAKCFMEO_03941, DC3000_protein_12_2025_WP_011104285.1, plate25_C2_annotation_DAKCFMEO_05214, plate25_C2_annotation_DAKCFMEO_04989, DC3000_protein_12_2025_WP_011104037.1, plate25_C2_annotation_DAKCFMEO_02415, DC3000_protein_12_2025_WP_011104938.1, plate25_C2_annotation_DAKCFMEO_00021, DC3000_protein_12_2025_WP_011103634.1
OG0000000	N0	n4	0.5	Non-Terminal	plate25_C2_annotation_DAKCFMEO_01007, plate25_C2_annotation_DAKCFMEO_00584	plate25_C2_annotation_DAKCFMEO_04422, plate25_C2_annotation_DAKCFMEO_01000, DC3000_protein_12_2025_WP_011104428.1, plate25_C2_annotation_DAKCFMEO_02366, DC3000_protein_12_2025_WP_007245106.1, DC3000_protein_12_2025_WP_011104375.1, plate25_C2_annotation_DAKCFMEO_00100, plate25_C2_annotation_DAKCFMEO_04017, DC3000_protein_12_2025_WP_011104172.1, plate25_C2_annotation_DAKCFMEO_03733, plate25_C2_annotation_DAKCFMEO_03941, DC3000_protein_12_2025_WP_011104285.1, plate25_C2_annotation_DAKCFMEO_05214, plate25_C2_annotation_DAKCFMEO_04989, DC3000_protein_12_2025_WP_011104037.1, plate25_C2_annotation_DAKCFMEO_02415, DC3000_protein_12_2025_WP_011104938.1, plate25_C2_annotation_DAKCFMEO_00021, DC3000_protein_12_2025_WP_011103634.1
OG0000000	plate25.C2.annotation	n5	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_01007	plate25_C2_annotation_DAKCFMEO_00584
OG0000000	N0	n6	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_04422, plate25_C2_annotation_DAKCFMEO_01000, DC3000_protein_12_2025_WP_011104428.1	plate25_C2_annotation_DAKCFMEO_02366, DC3000_protein_12_2025_WP_007245106.1, DC3000_protein_12_2025_WP_011104375.1, plate25_C2_annotation_DAKCFMEO_00100, plate25_C2_annotation_DAKCFMEO_04017, DC3000_protein_12_2025_WP_011104172.1, plate25_C2_annotation_DAKCFMEO_03733, plate25_C2_annotation_DAKCFMEO_03941, DC3000_protein_12_2025_WP_011104285.1, plate25_C2_annotation_DAKCFMEO_05214, plate25_C2_annotation_DAKCFMEO_04989, DC3000_protein_12_2025_WP_011104037.1, plate25_C2_annotation_DAKCFMEO_02415, DC3000_protein_12_2025_WP_011104938.1, plate25_C2_annotation_DAKCFMEO_00021, DC3000_protein_12_2025_WP_011103634.1
OG0000000	plate25.C2.annotation	n8	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04422	plate25_C2_annotation_DAKCFMEO_01000
OG0000000	N0	n9	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_02366, DC3000_protein_12_2025_WP_007245106.1, DC3000_protein_12_2025_WP_011104375.1, plate25_C2_annotation_DAKCFMEO_00100, plate25_C2_annotation_DAKCFMEO_04017, DC3000_protein_12_2025_WP_011104172.1, plate25_C2_annotation_DAKCFMEO_03733, plate25_C2_annotation_DAKCFMEO_03941, DC3000_protein_12_2025_WP_011104285.1, plate25_C2_annotation_DAKCFMEO_05214, plate25_C2_annotation_DAKCFMEO_04989	DC3000_protein_12_2025_WP_011104037.1, plate25_C2_annotation_DAKCFMEO_02415, DC3000_protein_12_2025_WP_011104938.1, plate25_C2_annotation_DAKCFMEO_00021, DC3000_protein_12_2025_WP_011103634.1
OG0000000	N0	n10	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_02366, DC3000_protein_12_2025_WP_007245106.1, DC3000_protein_12_2025_WP_011104375.1, plate25_C2_annotation_DAKCFMEO_00100, plate25_C2_annotation_DAKCFMEO_04017	DC3000_protein_12_2025_WP_011104172.1, plate25_C2_annotation_DAKCFMEO_03733, plate25_C2_annotation_DAKCFMEO_03941, DC3000_protein_12_2025_WP_011104285.1, plate25_C2_annotation_DAKCFMEO_05214, plate25_C2_annotation_DAKCFMEO_04989
OG0000000	N0	n11	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_02366, DC3000_protein_12_2025_WP_007245106.1	DC3000_protein_12_2025_WP_011104375.1, plate25_C2_annotation_DAKCFMEO_00100, plate25_C2_annotation_DAKCFMEO_04017
OG0000000	plate25.C2.annotation	n14	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_00100	plate25_C2_annotation_DAKCFMEO_04017
OG0000000	N0	n15	0.5	Non-Terminal	DC3000_protein_12_2025_WP_011104172.1, plate25_C2_annotation_DAKCFMEO_03733, plate25_C2_annotation_DAKCFMEO_03941, DC3000_protein_12_2025_WP_011104285.1	plate25_C2_annotation_DAKCFMEO_05214, plate25_C2_annotation_DAKCFMEO_04989
OG0000000	N0	n16	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011104172.1, plate25_C2_annotation_DAKCFMEO_03733	plate25_C2_annotation_DAKCFMEO_03941, DC3000_protein_12_2025_WP_011104285.1
OG0000000	plate25.C2.annotation	n19	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_05214	plate25_C2_annotation_DAKCFMEO_04989
OG0000000	N0	n20	0.5	Non-Terminal	DC3000_protein_12_2025_WP_011104037.1	plate25_C2_annotation_DAKCFMEO_02415, DC3000_protein_12_2025_WP_011104938.1, plate25_C2_annotation_DAKCFMEO_00021, DC3000_protein_12_2025_WP_011103634.1
OG0000000	N0	n21	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_02415, DC3000_protein_12_2025_WP_011104938.1	plate25_C2_annotation_DAKCFMEO_00021, DC3000_protein_12_2025_WP_011103634.1
OG0000001	DC3000_protein_12_2025	n0	1.0	Terminal	DC3000_protein_12_2025_WP_080395439.1	DC3000_protein_12_2025_WP_080946568.1, DC3000_protein_12_2025_WP_079216268.1, DC3000_protein_12_2025_WP_080395443.1, DC3000_protein_12_2025_WP_161797822.1, DC3000_protein_12_2025_WP_149032133.1, DC3000_protein_12_2025_WP_080946544.1, DC3000_protein_12_2025_WP_074842787.1, DC3000_protein_12_2025_WP_122761431.1, DC3000_protein_12_2025_WP_122366027.1, DC3000_protein_12_2025_WP_159250478.1, DC3000_protein_12_2025_WP_080395285.1, DC3000_protein_12_2025_WP_122212403.1, DC3000_protein_12_2025_WP_161797777.1, DC3000_protein_12_2025_WP_149032125.1, DC3000_protein_12_2025_WP_161797806.1, DC3000_protein_12_2025_WP_122234494.1, DC3000_protein_12_2025_WP_122388512.1, DC3000_protein_12_2025_WP_149032159.1, DC3000_protein_12_2025_WP_122670629.1, DC3000_protein_12_2025_WP_149032203.1, DC3000_protein_12_2025_WP_122212448.1
