HOG	OG	Gene Tree Parent Clade	DC3000_protein_12_2025	plate25.C2.annotation
N0.HOG0000000	OG0000000	n1	WP_011104418.1	DAKCFMEO_01003
N0.HOG0000001	OG0000000	n3	WP_005617775.1	DAKCFMEO_01033
N0.HOG0000002	OG0000000	n5		DAKCFMEO_01007, DAKCFMEO_00584
N0.HOG0000003	OG0000000	n7	WP_011104428.1	DAKCFMEO_04422, DAKCFMEO_01000
N0.HOG0000004	OG0000000	n12	WP_007245106.1	DAKCFMEO_02366
N0.HOG0000005	OG0000000	n13	WP_011104375.1	DAKCFMEO_00100, DAKCFMEO_04017
N0.HOG0000006	OG0000000	n19		DAKCFMEO_05214, DAKCFMEO_04989
N0.HOG0000007	OG0000000	n22	WP_011104938.1	DAKCFMEO_02415
N0.HOG0000008	OG0000000	n23	WP_011103634.1	DAKCFMEO_00021
N0.HOG0000009	OG0000000	n17	WP_011104172.1	DAKCFMEO_03733
N0.HOG0000010	OG0000000	n18	WP_011104285.1	DAKCFMEO_03941
N0.HOG0000011	OG0000001	n0	WP_080395439.1, WP_080946568.1, WP_079216268.1, WP_080395443.1, WP_161797822.1, WP_149032133.1, WP_080946544.1, WP_074842787.1, WP_122761431.1, WP_122366027.1, WP_159250478.1, WP_080395285.1, WP_122212403.1, WP_161797777.1, WP_149032125.1, WP_161797806.1, WP_122234494.1, WP_122388512.1, WP_149032159.1, WP_122670629.1, WP_149032203.1, WP_122212448.1	
N0.HOG0000012	OG0000002	n1	WP_011104895.1	DAKCFMEO_00173
N0.HOG0000013	OG0000002	n3	WP_011103489.1	DAKCFMEO_02720
N0.HOG0000014	OG0000002	n19	WP_007243868.1	DAKCFMEO_03875
N0.HOG0000015	OG0000002	n17	WP_011104376.1, WP_005768429.1	DAKCFMEO_01950
N0.HOG0000016	OG0000002	n15	WP_011104117.1, WP_007245567.1	DAKCFMEO_05131
N0.HOG0000017	OG0000002	n14	WP_005762478.1	DAKCFMEO_03764
N0.HOG0000018	OG0000002	n13	WP_005737152.1	DAKCFMEO_05227
N0.HOG0000019	OG0000002	n11	WP_007246637.1	DAKCFMEO_00139
N0.HOG0000020	OG0000002	n12	WP_011103716.1	DAKCFMEO_04511
N0.HOG0000021	OG0000003	n0		DAKCFMEO_01214, DAKCFMEO_05051, DAKCFMEO_02839, DAKCFMEO_02245, DAKCFMEO_05190, DAKCFMEO_00472, DAKCFMEO_01097, DAKCFMEO_01869, DAKCFMEO_02941, DAKCFMEO_02934, DAKCFMEO_03406, DAKCFMEO_05300, DAKCFMEO_04971, DAKCFMEO_04860, DAKCFMEO_04958, DAKCFMEO_03714, DAKCFMEO_02258, DAKCFMEO_02965, DAKCFMEO_00448, DAKCFMEO_01826
N0.HOG0000022	OG0000004	n1	WP_005767285.1	DAKCFMEO_01420
N0.HOG0000023	OG0000004	n3	WP_011103510.1, WP_011103145.1	
N0.HOG0000024	OG0000004	n5	WP_011104615.1, WP_011104479.1, WP_005764624.1	DAKCFMEO_04008
N0.HOG0000025	OG0000004	n8	WP_011105087.1, WP_011105575.1, WP_011105048.1	DAKCFMEO_01787
N0.HOG0000026	OG0000005	n1	WP_005888851.1, WP_007252518.1	DAKCFMEO_04413
N0.HOG0000027	OG0000005	n7	WP_162839071.1	DAKCFMEO_02686
N0.HOG0000028	OG0000005	n9	WP_011103873.1	DAKCFMEO_02701
N0.HOG0000029	OG0000005	n10	WP_011103871.1	DAKCFMEO_02699
N0.HOG0000030	OG0000006	n1	WP_011104680.1	DAKCFMEO_04480
N0.HOG0000031	OG0000006	n3	WP_032643380.1	DAKCFMEO_04600
N0.HOG0000032	OG0000006	n5	WP_011103739.1	DAKCFMEO_02437
N0.HOG0000033	OG0000006	n7	WP_011103576.1	DAKCFMEO_03248
N0.HOG0000034	OG0000006	n8	WP_011105179.1	DAKCFMEO_04484, DAKCFMEO_03841, DAKCFMEO_00848
N0.HOG0000035	OG0000007	n1	WP_046464036.1	DAKCFMEO_02698
N0.HOG0000036	OG0000007	n3	WP_011104107.1, WP_011105130.1	
N0.HOG0000037	OG0000007	n9	WP_011104219.1	DAKCFMEO_03820
N0.HOG0000038	OG0000007	n10	WP_011104220.1	DAKCFMEO_03821
N0.HOG0000039	OG0000008	n1	WP_007246617.1	DAKCFMEO_00175
N0.HOG0000040	OG0000008	n3	WP_007246574.1	DAKCFMEO_05254
N0.HOG0000041	OG0000008	n5	WP_011104948.1	DAKCFMEO_00278
