#ORTHOLOGY_ASSIGNMENTS_FROM_EFFIE_7_2022				
name_dc3000_new	name_p25c2_new	name_p25c2	name_dc3000	name_p7
WP_002551315.1	DAKCFMEO_01263	BJEIHDPM_01822	PSPTO_RS29070	PDOHHFKI_01070
WP_002551397.1	DAKCFMEO_05162	BJEIHDPM_01535	PSPTO_RS01630	PDOHHFKI_00160
WP_002551454.1	DAKCFMEO_05211	BJEIHDPM_01584	PSPTO_RS27580	PDOHHFKI_01350
WP_002551500.1	DAKCFMEO_01837	BJEIHDPM_01955	PSPTO_RS00415	PDOHHFKI_00950
WP_002551508.1	DAKCFMEO_01845	BJEIHDPM_01963	PSPTO_RS00460	PDOHHFKI_00942
WP_002551514.1	DAKCFMEO_01851	BJEIHDPM_01969	PSPTO_RS00490	PDOHHFKI_00936
WP_002551515.1	DAKCFMEO_01852	BJEIHDPM_01970	PSPTO_RS00495	PDOHHFKI_00935
WP_002551560.1	DAKCFMEO_01956	BJEIHDPM_02076	PSPTO_RS27080	PDOHHFKI_02112
WP_002551568.1	DAKCFMEO_01967	BJEIHDPM_02087	PSPTO_RS27025	
WP_002551573.1	DAKCFMEO_01972	BJEIHDPM_02092	PSPTO_RS27000	PDOHHFKI_02123
WP_002551616.1	DAKCFMEO_05096	BJEIHDPM_01469	PSPTO_RS26710	PDOHHFKI_00176
WP_002551738.1	DAKCFMEO_05002	BJEIHDPM_01376	PSPTO_RS26040	PDOHHFKI_00048
WP_002551819.1	DAKCFMEO_04892	BJEIHDPM_01266	PSPTO_RS25555	PDOHHFKI_04424
WP_002551828.1	DAKCFMEO_04881	BJEIHDPM_01255	PSPTO_RS25500	PDOHHFKI_04414
WP_002551829.1	DAKCFMEO_04880	BJEIHDPM_01254	PSPTO_RS25495	PDOHHFKI_04413
WP_002551844.1	DAKCFMEO_04866	BJEIHDPM_01241	PSPTO_RS25420	PDOHHFKI_04389
WP_002551877.1	DAKCFMEO_02868	BJEIHDPM_02398	PSPTO_RS02820	PDOHHFKI_04471
WP_002551946.1	DAKCFMEO_02807	BJEIHDPM_02459	PSPTO_RS03135	PDOHHFKI_00904
WP_002551953.1	DAKCFMEO_02800	BJEIHDPM_02466	PSPTO_RS03170	PDOHHFKI_00915
WP_002551972.1	DAKCFMEO_00541	BJEIHDPM_02770	PSPTO_RS04220	PDOHHFKI_01516
WP_002552060.1	DAKCFMEO_01662	BJEIHDPM_00983	PSPTO_RS05095	PDOHHFKI_02601
WP_002552075.1	DAKCFMEO_01647	BJEIHDPM_00968	PSPTO_RS05170	PDOHHFKI_04336
WP_002552145.1	DAKCFMEO_03443	BJEIHDPM_00918	PSPTO_RS05840	
WP_002552194.1	DAKCFMEO_03389	BJEIHDPM_00864	PSPTO_RS06100	
WP_002552279.1	DAKCFMEO_03291	BJEIHDPM_00762	PSPTO_RS06680	PDOHHFKI_03725
WP_002552468.1	DAKCFMEO_03331	BJEIHDPM_00661	PSPTO_RS07425	PDOHHFKI_00747
WP_002552482.1	DAKCFMEO_03346	BJEIHDPM_00646	PSPTO_RS07505	PDOHHFKI_00732
WP_002552524.1	DAKCFMEO_03261	BJEIHDPM_00595	PSPTO_RS07750	PDOHHFKI_03403
WP_002552552.1	DAKCFMEO_04200	BJEIHDPM_00280	PSPTO_RS08470	PDOHHFKI_00442
WP_002552611.1	DAKCFMEO_04157	BJEIHDPM_00331	PSPTO_RS20270	PDOHHFKI_04024
WP_002552653.1	DAKCFMEO_04191	BJEIHDPM_00289	PSPTO_RS20070	PDOHHFKI_00453
WP_002552688.1	DAKCFMEO_04245	BJEIHDPM_00234	PSPTO_RS19875	PDOHHFKI_03662
WP_002552729.1	DAKCFMEO_04341	BJEIHDPM_00138	PSPTO_RS19335	PDOHHFKI_02295
WP_002552734.1	DAKCFMEO_04350	BJEIHDPM_00129	PSPTO_RS19255	PDOHHFKI_02304
WP_002552737.1	DAKCFMEO_04353	BJEIHDPM_00126	PSPTO_RS19240	
WP_002552818.1	DAKCFMEO_04534	BJEIHDPM_05286	PSPTO_RS18840	PDOHHFKI_03740
WP_002552853.1	DAKCFMEO_02621	BJEIHDPM_03693	PSPTO_RS10640	PDOHHFKI_03618
WP_002552981.1	DAKCFMEO_00650	BJEIHDPM_03828	PSPTO_RS11440	PDOHHFKI_01909
WP_002553016.1	DAKCFMEO_00710	BJEIHDPM_03888	PSPTO_RS11780	PDOHHFKI_02865
WP_002553018.1	DAKCFMEO_00712	BJEIHDPM_03890	PSPTO_RS11790	PDOHHFKI_02867
WP_002553156.1	DAKCFMEO_00145	BJEIHDPM_03166	PSPTO_RS21485	PDOHHFKI_00491
WP_002553156.1	DAKCFMEO_03299	BJEIHDPM_00752	PSPTO_RS06725	PDOHHFKI_00755
WP_002553156.1	DAKCFMEO_00809	BJEIHDPM_03987	PSPTO_RS12335	PDOHHFKI_00491
WP_002553160.1	DAKCFMEO_00813	BJEIHDPM_03991	PSPTO_RS12355	PDOHHFKI_03061
WP_002553161.1	DAKCFMEO_00814	BJEIHDPM_03992	PSPTO_RS12360	PDOHHFKI_03060
WP_002553164.1	DAKCFMEO_00817	BJEIHDPM_03995	PSPTO_RS12375	PDOHHFKI_03057
WP_002553665.1	DAKCFMEO_03718	BJEIHDPM_04381	PSPTO_RS14140	PDOHHFKI_00241
WP_002553918.1	DAKCFMEO_01408	BJEIHDPM_04914	PSPTO_RS16905	PDOHHFKI_01173
WP_002553978.1	DAKCFMEO_01496	BJEIHDPM_05002	PSPTO_RS17230	PDOHHFKI_03874
WP_002554011.1	DAKCFMEO_01530	BJEIHDPM_05036	PSPTO_RS17395	PDOHHFKI_03904
WP_002554012.1	DAKCFMEO_01531	BJEIHDPM_05037	PSPTO_RS17400	PDOHHFKI_03905
WP_002554100.1	DAKCFMEO_04682	BJEIHDPM_05138	PSPTO_RS18150	PDOHHFKI_03004
WP_002554157.1	DAKCFMEO_02400	BJEIHDPM_03472	PSPTO_RS09600	PDOHHFKI_03164
WP_002554157.1	DAKCFMEO_04624	BJEIHDPM_05196	PSPTO_RS18430	PDOHHFKI_03164
WP_002554192.1	DAKCFMEO_04561	BJEIHDPM_05259	PSPTO_RS18605	PDOHHFKI_02827
WP_002554262.1	DAKCFMEO_02556	BJEIHDPM_03628	PSPTO_RS10325	PDOHHFKI_01979
WP_002554277.1	DAKCFMEO_02541	BJEIHDPM_03613	PSPTO_RS10245	PDOHHFKI_01994
WP_002554288.1	DAKCFMEO_02531	BJEIHDPM_03603	PSPTO_RS10195	PDOHHFKI_02004
WP_002554291.1	DAKCFMEO_02528	BJEIHDPM_03600	PSPTO_RS10180	PDOHHFKI_02007
WP_002554297.1	DAKCFMEO_02522	BJEIHDPM_03594	PSPTO_RS10150	
WP_002554310.1	DAKCFMEO_02509	BJEIHDPM_03581	PSPTO_RS10085	PDOHHFKI_03140
WP_002554316.1	DAKCFMEO_02504	BJEIHDPM_03576	PSPTO_RS10055	PDOHHFKI_03144
WP_002554423.1	DAKCFMEO_02406	BJEIHDPM_03478	PSPTO_RS09630	PDOHHFKI_03158
WP_002554426.1	DAKCFMEO_04624	BJEIHDPM_05196	PSPTO_RS18430	PDOHHFKI_03164
WP_002554426.1	DAKCFMEO_02400	BJEIHDPM_03472	PSPTO_RS09600	PDOHHFKI_03164
WP_002554476.1	DAKCFMEO_04319	BJEIHDPM_00160	PSPTO_RS19470	PDOHHFKI_00406
WP_002554489.1	DAKCFMEO_04303	BJEIHDPM_00176	PSPTO_RS19545	
WP_002554553.1	DAKCFMEO_02327	BJEIHDPM_03399	PSPTO_RS09180	
