Orthogroup	DC3000_protein_12_2025	plate25.C2.annotation
OG0000000	WP_011104418.1	DAKCFMEO_01003
OG0000000	WP_005617775.1	DAKCFMEO_01033
OG0000000	WP_011104428.1	DAKCFMEO_04422, DAKCFMEO_01000
OG0000000	WP_007245106.1	DAKCFMEO_02366
OG0000000	WP_011104375.1	DAKCFMEO_00100, DAKCFMEO_04017
OG0000000	WP_011104172.1	DAKCFMEO_03733
OG0000000	WP_011104285.1	DAKCFMEO_03941
OG0000000	WP_011104938.1	DAKCFMEO_02415
OG0000000	WP_011103634.1	DAKCFMEO_00021
OG0000002	WP_011104895.1	DAKCFMEO_00173
OG0000002	WP_011103489.1	DAKCFMEO_02720
OG0000002	WP_007246637.1	DAKCFMEO_00139
OG0000002	WP_011103716.1	DAKCFMEO_04511
OG0000002	WP_005737152.1	DAKCFMEO_05227
OG0000002	WP_005762478.1	DAKCFMEO_03764
OG0000002	WP_011104117.1, WP_007245567.1	DAKCFMEO_05131
OG0000002	WP_011104376.1, WP_005768429.1	DAKCFMEO_01950
OG0000002	WP_007243868.1	DAKCFMEO_03875
OG0000004	WP_005767285.1	DAKCFMEO_01420
OG0000004	WP_011104615.1, WP_011104479.1, WP_005764624.1	DAKCFMEO_04008
OG0000004	WP_011105087.1, WP_011105575.1, WP_011105048.1	DAKCFMEO_01787
OG0000005	WP_005888851.1, WP_007252518.1	DAKCFMEO_04413
OG0000005	WP_162839071.1	DAKCFMEO_02686
OG0000005	WP_011103873.1	DAKCFMEO_02701
OG0000005	WP_011103871.1	DAKCFMEO_02699
OG0000006	WP_011104680.1	DAKCFMEO_04480
OG0000006	WP_032643380.1	DAKCFMEO_04600
OG0000006	WP_011103739.1	DAKCFMEO_02437
OG0000006	WP_011103576.1	DAKCFMEO_03248
OG0000006	WP_011105179.1	DAKCFMEO_04484, DAKCFMEO_03841, DAKCFMEO_00848
OG0000007	WP_046464036.1	DAKCFMEO_02698
OG0000007	WP_011104219.1	DAKCFMEO_03820
OG0000007	WP_011104220.1	DAKCFMEO_03821
OG0000008	WP_007246617.1	DAKCFMEO_00175
OG0000008	WP_007246574.1	DAKCFMEO_05254
OG0000008	WP_011104948.1	DAKCFMEO_00278
OG0000008	WP_005763906.1, WP_011103533.1	DAKCFMEO_04031, DAKCFMEO_01357, DAKCFMEO_01489
OG0000009	WP_011105057.1	DAKCFMEO_04763
OG0000009	WP_011105058.1	DAKCFMEO_04764
OG0000009	WP_005769383.1	DAKCFMEO_04767
OG0000009	WP_011102986.1	DAKCFMEO_01850
OG0000009	WP_011105059.1	DAKCFMEO_04765
OG0000010	WP_011104129.1	DAKCFMEO_00966, DAKCFMEO_02949
OG0000010	WP_003382360.1	DAKCFMEO_02150
OG0000010	WP_005764042.1	DAKCFMEO_02992
OG0000010	WP_002554192.1	DAKCFMEO_02661, DAKCFMEO_04561
OG0000011	WP_011105342.1	DAKCFMEO_05084
OG0000011	WP_007244964.1	DAKCFMEO_01223
OG0000011	WP_046463739.1	DAKCFMEO_01726
OG0000011	WP_046463299.1	DAKCFMEO_01032
OG0000011	WP_011105343.1	DAKCFMEO_05085
OG0000012	WP_011104743.1	DAKCFMEO_04250
OG0000012	WP_011105318.1, WP_005765463.1, WP_011105119.1, WP_011105122.1, WP_057443300.1, WP_011104106.1	DAKCFMEO_04450
OG0000013	WP_011105383.1	DAKCFMEO_01966
OG0000013	WP_011103512.1	DAKCFMEO_05213
OG0000013	WP_005767792.1	DAKCFMEO_05243, DAKCFMEO_04438, DAKCFMEO_04382, DAKCFMEO_03933
OG0000014	WP_011104382.1	DAKCFMEO_03805, DAKCFMEO_04771
OG0000014	WP_011103058.1	DAKCFMEO_02034
OG0000014	WP_011104339.1	DAKCFMEO_04030
OG0000014	WP_005770761.1	DAKCFMEO_04356
OG0000015	WP_011104104.1	DAKCFMEO_00963
OG0000015	WP_005894383.1	DAKCFMEO_02100, DAKCFMEO_00056
OG0000015	WP_011104874.1	DAKCFMEO_00086
OG0000015	WP_011104873.1	DAKCFMEO_00085
OG0000016	WP_005764458.1	DAKCFMEO_04042
OG0000016	WP_005738213.1	DAKCFMEO_03893, DAKCFMEO_04650, DAKCFMEO_01238, DAKCFMEO_01341, DAKCFMEO_01407
OG0000017	WP_005764287.1	DAKCFMEO_00588, DAKCFMEO_03879
OG0000017	WP_007246985.1	DAKCFMEO_04733
OG0000017	WP_007246046.1	DAKCFMEO_04571, DAKCFMEO_02438
OG0000018	WP_046463882.1	DAKCFMEO_05133
OG0000018	WP_005764602.1	DAKCFMEO_03996
OG0000018	WP_011104007.1, WP_011105351.1	DAKCFMEO_05134
OG0000019	WP_011104980.1	DAKCFMEO_00342
OG0000019	WP_011104924.1	DAKCFMEO_04064
OG0000019	WP_011104372.1	DAKCFMEO_04423
OG0000019	WP_005767796.1	DAKCFMEO_03538
OG0000020	WP_011107021.1	DAKCFMEO_04634, DAKCFMEO_01707
OG0000020	WP_005770837.1	DAKCFMEO_00928
OG0000020	WP_007243745.1	DAKCFMEO_00927, DAKCFMEO_04757
OG0000021	WP_044393047.1	DAKCFMEO_01760
OG0000021	WP_011105438.1	DAKCFMEO_05224
OG0000021	WP_024667882.1	DAKCFMEO_04383
OG0000022	WP_011103090.1	DAKCFMEO_05163
OG0000022	WP_046463958.1	DAKCFMEO_01557, DAKCFMEO_01037, DAKCFMEO_02181, DAKCFMEO_01779, DAKCFMEO_02871
OG0000023	WP_011104487.1	DAKCFMEO_01438
OG0000023	WP_011105356.1	DAKCFMEO_05141
OG0000023	WP_011103298.1	DAKCFMEO_03216, DAKCFMEO_00970, DAKCFMEO_04449
OG0000026	WP_011103389.1	DAKCFMEO_03049
OG0000026	WP_004666923.1, WP_003347743.1, WP_005615816.1, WP_005766970.1	DAKCFMEO_02554
OG0000027	WP_005768479.1	DAKCFMEO_02083
OG0000027	WP_005770083.1	DAKCFMEO_03677
OG0000027	WP_011105578.1, WP_003425026.1	DAKCFMEO_03697
OG0000028	WP_005614629.1	DAKCFMEO_00517
OG0000028	WP_011105486.1	DAKCFMEO_01633
OG0000028	WP_011104076.1	DAKCFMEO_05286, DAKCFMEO_01140
OG0000029	WP_080946590.1, WP_161797792.1	DAKCFMEO_03367
OG0000029	WP_005615166.1, WP_011105434.1, WP_011104519.1	DAKCFMEO_03368
OG0000030	WP_005767078.1	DAKCFMEO_02022
OG0000030	WP_011105417.1	DAKCFMEO_02023
OG0000030	WP_164923170.1, WP_005762461.1	DAKCFMEO_03771
OG0000031	WP_005762581.1	DAKCFMEO_03548, DAKCFMEO_04050, DAKCFMEO_02062, DAKCFMEO_03812, DAKCFMEO_03312, DAKCFMEO_01189
OG0000032	WP_010218671.1	DAKCFMEO_04390
OG0000032	WP_011105102.1	DAKCFMEO_00572
OG0000032	WP_005762709.1	DAKCFMEO_03863, DAKCFMEO_01092
OG0000033	WP_005767187.1	DAKCFMEO_05232, DAKCFMEO_05233
OG0000033	WP_005763587.1	DAKCFMEO_05145, DAKCFMEO_00332, DAKCFMEO_04962
OG0000034	WP_005771258.1	DAKCFMEO_01375
OG0000034	WP_011104482.1	DAKCFMEO_01431
OG0000034	WP_011104229.1, WP_011103467.1	DAKCFMEO_04773
OG0000035	WP_011103959.1	DAKCFMEO_00770
OG0000035	WP_007244158.1	DAKCFMEO_03891, DAKCFMEO_02442, DAKCFMEO_04436, DAKCFMEO_01735
OG0000036	WP_011103274.1	DAKCFMEO_03708
OG0000036	WP_011104588.1	DAKCFMEO_04695
OG0000036	WP_011103279.1	DAKCFMEO_00952, DAKCFMEO_00600
OG0000037	WP_011104174.1	DAKCFMEO_03737
OG0000037	WP_011103502.1	DAKCFMEO_01240, DAKCFMEO_00363, DAKCFMEO_03736, DAKCFMEO_02993
OG0000038	WP_011104616.1	DAKCFMEO_04608, DAKCFMEO_04453, DAKCFMEO_04966, DAKCFMEO_00913, DAKCFMEO_03469, DAKCFMEO_04605
OG0000043	WP_002553156.1	DAKCFMEO_00809
OG0000043	WP_002554837.1	DAKCFMEO_00145
OG0000043	WP_005764082.1	DAKCFMEO_03299
OG0000044	WP_002554157.1	DAKCFMEO_04624
OG0000044	WP_010216576.1, WP_011103313.1, WP_003381023.1	DAKCFMEO_04205
OG0000045	WP_002555020.1	DAKCFMEO_00368
OG0000045	WP_011104125.1, WP_159229484.1, WP_005770857.1	DAKCFMEO_00941
OG0000046	WP_003381855.1	DAKCFMEO_01356
OG0000046	WP_003425025.1, WP_155490796.1, WP_003378280.1	DAKCFMEO_01226
OG0000048	WP_005771285.1	DAKCFMEO_00898
OG0000048	WP_005768982.1	DAKCFMEO_03885
OG0000048	WP_005739842.1	DAKCFMEO_02039
OG0000049	WP_011104338.1	DAKCFMEO_04028
OG0000049	WP_011104692.1	DAKCFMEO_04358
