# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	old_locus_tag	single_old_locus	other_old_locus
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	339	1874	+	WP_011102932.1	WP_011102932.1		chromosomal replication initiator protein DnaA	dnaA	1181609	PSPTO_RS00005	1536	511	"PSPTO0001,PSPTO_0001"	PSPTO0001	PSPTO_0001
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	1913	3016	+	WP_005768226.1	WP_005768226.1		DNA polymerase III subunit beta	dnaN	1181610	PSPTO_RS00010	1104	367	"PSPTO0002,PSPTO_0002"	PSPTO0002	PSPTO_0002
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	3039	4142	+	WP_003377871.1	WP_003377871.1		DNA replication/repair protein RecF	recF	1181611	PSPTO_RS00015	1104	367	"PSPTO0003,PSPTO_0003"	PSPTO0003	PSPTO_0003
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	4147	6564	+	WP_005768224.1	WP_005768224.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	1181612	PSPTO_RS00020	2418	805	"PSPTO0004,PSPTO_0004"	PSPTO0004	PSPTO_0004
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	7188	8798	+	WP_161797786.1	WP_161797786.1		class I SAM-dependent DNA methyltransferase		1181613	PSPTO_RS00025	1611	536	"PSPTO0005,PSPTO_0005"	PSPTO0005	PSPTO_0005
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	8795	10168	+	WP_226992673.1	WP_226992673.1		restriction endonuclease subunit S		1181614	PSPTO_RS00030	1374	457	"PSPTO0006,PSPTO_0006hm[1]"	PSPTO0006	PSPTO_0006hm[1]
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	10179	11063	+	WP_011102935.1	WP_011102935.1		OST-HTH/LOTUS domain-containing protein		1181615	PSPTO_RS00035	885	294	"PSPTO0007,PSPTO_0007"	PSPTO0007	PSPTO_0007
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	11067	14366	+	WP_011102936.1	WP_011102936.1		type I restriction endonuclease		1181616	PSPTO_RS00040	3300	1099	"PSPTO0008,PSPTO_0008"	PSPTO0008	PSPTO_0008
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	14512	15741	-	WP_004667395.1	WP_004667395.1		IS91 family transposase		1181617	PSPTO_RS00045	1230	409	"PSPTO0009,PSPTO_0009"	PSPTO0009	PSPTO_0009
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	16743	17453	+	WP_011102938.1	WP_011102938.1		SprT family zinc-dependent metalloprotease		1181619	PSPTO_RS00060	711	236	"PSPTO0011,PSPTO_0011"	PSPTO0011	PSPTO_0011
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	17514	18017	+	WP_011102939.1	WP_011102939.1		hypothetical protein		68226052	PSPTO_RS30090	504	167	"PSPTO0012,PSPTO_0012"	PSPTO0012	PSPTO_0012
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	17992	18561	+	WP_011102940.1	WP_011102940.1		hypothetical protein		68226053	PSPTO_RS30095	570	189	"PSPTO0013,PSPTO_0013"	PSPTO0013	PSPTO_0013
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	18573	18803	-	WP_046463578.1	WP_046463578.1		hypothetical protein		1181622	PSPTO_RS00070	231	76	"PSPTO0014,PSPTO_0014"	PSPTO0014	PSPTO_0014
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	19321	19932	+	WP_011102942.1	WP_011102942.1		hypothetical protein		1181623	PSPTO_RS00075	612	203	"PSPTO0015,PSPTO_0015"	PSPTO0015	PSPTO_0015
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	19983	20435	+	WP_046463577.1	WP_046463577.1		hypothetical protein		1181624	PSPTO_RS00080	453	150	"PSPTO0016,PSPTO_0016"	PSPTO0016	PSPTO_0016
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	20738	23149	-	WP_161797787.1	WP_161797787.1		helicase-related protein		1181625	PSPTO_RS00085	2412	803	"PSPTO0017,PSPTO_0017"	PSPTO0017	PSPTO_0017
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	23290	24099	-	WP_005741073.1	WP_005741073.1		IS21-like element ISPsy4 family helper ATPase IstB	istB	1181626	PSPTO_RS00090	810	269	"PSPTO0018,PSPTO_0018"	PSPTO0018	PSPTO_0018
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	24096	25118	-	WP_002551322.1	WP_002551322.1		IS21-like element ISPsy4 family transposase	istA	1181627	PSPTO_RS00095	1023	340	"PSPTO0019,PSPTO_0019"	PSPTO0019	PSPTO_0019
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	25187	25537	-	WP_011102945.1	WP_011102945.1		hypothetical protein		1181628	PSPTO_RS00100	351	116	"PSPTO0020,PSPTO_0020"	PSPTO0020	PSPTO_0020
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	25556	27796	-	WP_011102946.1	WP_011102946.1		hypothetical protein		68226054	PSPTO_RS30100	2241	746	"PSPTO0021,PSPTO_0021"	PSPTO0021	PSPTO_0021
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	28166	29323	+	WP_200836483.1	WP_200836483.1		helix-turn-helix transcriptional regulator		1181630	PSPTO_RS00120	1158	385	"PSPTO0022,PSPTO_0022"	PSPTO0022	PSPTO_0022
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	29320	29919	+	WP_011102948.1	WP_011102948.1		hypothetical protein		1181631	PSPTO_RS00125	600	199	"PSPTO0023,PSPTO_0023"	PSPTO0023	PSPTO_0023
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	30850	30987	+	WP_011102949.1	WP_011102949.1		hypothetical protein		1181632	PSPTO_RS00135	138	45	"PSPTO0024,PSPTO_0024"	PSPTO0024	PSPTO_0024
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	31338	31967	+	WP_011102950.1	WP_011102950.1		HAD family hydrolase		1181633	PSPTO_RS00140	630	209	"PSPTO0025,PSPTO_0025"	PSPTO0025	PSPTO_0025
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	32022	33068	-	WP_011102951.1	WP_011102951.1		hypothetical protein		1181634	PSPTO_RS00145	1047	348	"PSPTO0026,PSPTO_0026"	PSPTO0026	PSPTO_0026
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	33254	33976	+	WP_011102952.1	WP_011102952.1		hypothetical protein		1181635	PSPTO_RS00150	723	240	"PSPTO0027,PSPTO_0027"	PSPTO0027	PSPTO_0027
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	33978	35933	+	WP_011102953.1	WP_011102953.1		DDE-type integrase/transposase/recombinase		1181636	PSPTO_RS00155	1956	651	"PSPTO0028,PSPTO_0028"	PSPTO0028	PSPTO_0028
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	35930	36868	+	WP_169790031.1	WP_169790031.1		TniB family NTP-binding protein		1181637	PSPTO_RS00160	939	312	"PSPTO0029,PSPTO_0029"	PSPTO0029	PSPTO_0029
