Orthogroup	SpeciesA	GeneA	SpeciesB	GeneB
OG0000000	DC3000_protein_12_2025	WP_005617775.1, WP_007245106.1, WP_011103634.1, WP_011104037.1, WP_011104172.1, WP_011104285.1, WP_011104375.1, WP_011104418.1, WP_011104428.1, WP_011104938.1	plate25.C2.annotation	DAKCFMEO_00021, DAKCFMEO_00100, DAKCFMEO_00584, DAKCFMEO_01000, DAKCFMEO_01003, DAKCFMEO_01007, DAKCFMEO_01033, DAKCFMEO_02366, DAKCFMEO_02415, DAKCFMEO_03733, DAKCFMEO_03941, DAKCFMEO_04017, DAKCFMEO_04422, DAKCFMEO_04989, DAKCFMEO_05214
OG0000002	DC3000_protein_12_2025	WP_005737152.1, WP_005762478.1, WP_005768429.1, WP_007243868.1, WP_007245567.1, WP_007246637.1, WP_011103489.1, WP_011103716.1, WP_011104117.1, WP_011104329.1, WP_011104376.1, WP_011104895.1	plate25.C2.annotation	DAKCFMEO_00139, DAKCFMEO_00173, DAKCFMEO_01950, DAKCFMEO_02720, DAKCFMEO_03764, DAKCFMEO_03875, DAKCFMEO_04511, DAKCFMEO_05131, DAKCFMEO_05227
OG0000004	DC3000_protein_12_2025	WP_005764624.1, WP_005767285.1, WP_011103145.1, WP_011103510.1, WP_011104479.1, WP_011104615.1, WP_011105048.1, WP_011105087.1, WP_011105575.1	plate25.C2.annotation	DAKCFMEO_01420, DAKCFMEO_01787, DAKCFMEO_04008
OG0000005	DC3000_protein_12_2025	WP_005888851.1, WP_007252518.1, WP_011103871.1, WP_011103873.1, WP_162839071.1	plate25.C2.annotation	DAKCFMEO_02686, DAKCFMEO_02699, DAKCFMEO_02700, DAKCFMEO_02701, DAKCFMEO_04411, DAKCFMEO_04412, DAKCFMEO_04413
OG0000006	DC3000_protein_12_2025	WP_011103576.1, WP_011103739.1, WP_011104680.1, WP_011105179.1, WP_032643380.1	plate25.C2.annotation	DAKCFMEO_00848, DAKCFMEO_02437, DAKCFMEO_03248, DAKCFMEO_03841, DAKCFMEO_04480, DAKCFMEO_04484, DAKCFMEO_04600
OG0000007	DC3000_protein_12_2025	WP_011103872.1, WP_011104107.1, WP_011104219.1, WP_011104220.1, WP_011105031.1, WP_011105032.1, WP_011105127.1, WP_011105130.1, WP_046464036.1	plate25.C2.annotation	DAKCFMEO_02698, DAKCFMEO_03820, DAKCFMEO_03821
OG0000008	DC3000_protein_12_2025	WP_005763906.1, WP_007246574.1, WP_007246617.1, WP_011103533.1, WP_011104948.1	plate25.C2.annotation	DAKCFMEO_00175, DAKCFMEO_00278, DAKCFMEO_01357, DAKCFMEO_01489, DAKCFMEO_04031, DAKCFMEO_05254
OG0000009	DC3000_protein_12_2025	WP_005769383.1, WP_011102986.1, WP_011104379.1, WP_011105057.1, WP_011105058.1, WP_011105059.1	plate25.C2.annotation	DAKCFMEO_01850, DAKCFMEO_04763, DAKCFMEO_04764, DAKCFMEO_04765, DAKCFMEO_04767
OG0000010	DC3000_protein_12_2025	WP_002554192.1, WP_003382360.1, WP_005764042.1, WP_011104129.1	plate25.C2.annotation	DAKCFMEO_00966, DAKCFMEO_02150, DAKCFMEO_02661, DAKCFMEO_02949, DAKCFMEO_02992, DAKCFMEO_04561
OG0000011	DC3000_protein_12_2025	WP_007244964.1, WP_011105342.1, WP_011105343.1, WP_046463299.1, WP_046463739.1	plate25.C2.annotation	DAKCFMEO_01032, DAKCFMEO_01223, DAKCFMEO_01726, DAKCFMEO_05084, DAKCFMEO_05085
OG0000012	DC3000_protein_12_2025	WP_005765463.1, WP_011104106.1, WP_011104743.1, WP_011105119.1, WP_011105122.1, WP_011105318.1, WP_057443300.1	plate25.C2.annotation	DAKCFMEO_04250, DAKCFMEO_04450
OG0000013	DC3000_protein_12_2025	WP_005767792.1, WP_011103512.1, WP_011105383.1	plate25.C2.annotation	DAKCFMEO_01966, DAKCFMEO_03933, DAKCFMEO_04382, DAKCFMEO_04438, DAKCFMEO_05213, DAKCFMEO_05243
OG0000014	DC3000_protein_12_2025	WP_005770761.1, WP_011103058.1, WP_011104339.1, WP_011104382.1	plate25.C2.annotation	DAKCFMEO_02034, DAKCFMEO_03805, DAKCFMEO_04030, DAKCFMEO_04356, DAKCFMEO_04771
OG0000015	DC3000_protein_12_2025	WP_005894383.1, WP_011104104.1, WP_011104873.1, WP_011104874.1	plate25.C2.annotation	DAKCFMEO_00056, DAKCFMEO_00085, DAKCFMEO_00086, DAKCFMEO_00963, DAKCFMEO_02100
OG0000016	DC3000_protein_12_2025	WP_005738213.1, WP_005764458.1	plate25.C2.annotation	DAKCFMEO_01238, DAKCFMEO_01341, DAKCFMEO_01407, DAKCFMEO_03893, DAKCFMEO_04042, DAKCFMEO_04650
OG0000017	DC3000_protein_12_2025	WP_005764287.1, WP_007246046.1, WP_007246985.1	plate25.C2.annotation	DAKCFMEO_00588, DAKCFMEO_02438, DAKCFMEO_03879, DAKCFMEO_04571, DAKCFMEO_04733
OG0000018	DC3000_protein_12_2025	WP_005764602.1, WP_011104006.1, WP_011104007.1, WP_011105351.1, WP_046463882.1	plate25.C2.annotation	DAKCFMEO_03996, DAKCFMEO_05133, DAKCFMEO_05134
OG0000019	DC3000_protein_12_2025	WP_005767796.1, WP_011104372.1, WP_011104924.1, WP_011104980.1	plate25.C2.annotation	DAKCFMEO_00342, DAKCFMEO_03538, DAKCFMEO_04064, DAKCFMEO_04423
OG0000020	DC3000_protein_12_2025	WP_005770837.1, WP_007243745.1, WP_011107021.1	plate25.C2.annotation	DAKCFMEO_00927, DAKCFMEO_00928, DAKCFMEO_01707, DAKCFMEO_04634, DAKCFMEO_04757
OG0000021	DC3000_protein_12_2025	WP_007243826.1, WP_011104703.1, WP_011105438.1, WP_024667882.1, WP_044393047.1	plate25.C2.annotation	DAKCFMEO_01760, DAKCFMEO_04383, DAKCFMEO_05224
OG0000022	DC3000_protein_12_2025	WP_011103090.1, WP_046463958.1	plate25.C2.annotation	DAKCFMEO_01037, DAKCFMEO_01557, DAKCFMEO_01779, DAKCFMEO_02181, DAKCFMEO_02871, DAKCFMEO_05163
OG0000023	DC3000_protein_12_2025	WP_011103298.1, WP_011104487.1, WP_011105356.1	plate25.C2.annotation	DAKCFMEO_00970, DAKCFMEO_01438, DAKCFMEO_03216, DAKCFMEO_04449, DAKCFMEO_05141
OG0000026	DC3000_protein_12_2025	WP_003347743.1, WP_004666923.1, WP_005615816.1, WP_005766970.1, WP_011103389.1	plate25.C2.annotation	DAKCFMEO_02554, DAKCFMEO_03049
OG0000027	DC3000_protein_12_2025	WP_003425026.1, WP_005768479.1, WP_005770083.1, WP_011105578.1	plate25.C2.annotation	DAKCFMEO_02083, DAKCFMEO_03677, DAKCFMEO_03697
OG0000028	DC3000_protein_12_2025	WP_005614629.1, WP_011104076.1, WP_011105486.1	plate25.C2.annotation	DAKCFMEO_00517, DAKCFMEO_01140, DAKCFMEO_01633, DAKCFMEO_05286
OG0000029	DC3000_protein_12_2025	WP_005615166.1, WP_011104519.1, WP_011105434.1, WP_080946590.1, WP_161797792.1	plate25.C2.annotation	DAKCFMEO_03367, DAKCFMEO_03368
OG0000030	DC3000_protein_12_2025	WP_005762461.1, WP_005767078.1, WP_011105417.1, WP_164923170.1	plate25.C2.annotation	DAKCFMEO_02022, DAKCFMEO_02023, DAKCFMEO_03771
OG0000031	DC3000_protein_12_2025	WP_005762581.1	plate25.C2.annotation	DAKCFMEO_01189, DAKCFMEO_02062, DAKCFMEO_03312, DAKCFMEO_03548, DAKCFMEO_03812, DAKCFMEO_04050
OG0000032	DC3000_protein_12_2025	WP_005762709.1, WP_010218671.1, WP_011105102.1	plate25.C2.annotation	DAKCFMEO_00572, DAKCFMEO_01092, DAKCFMEO_03863, DAKCFMEO_04390
OG0000033	DC3000_protein_12_2025	WP_005763587.1, WP_005767187.1	plate25.C2.annotation	DAKCFMEO_00332, DAKCFMEO_04962, DAKCFMEO_05145, DAKCFMEO_05232, DAKCFMEO_05233
OG0000034	DC3000_protein_12_2025	WP_005771258.1, WP_011103467.1, WP_011104229.1, WP_011104482.1	plate25.C2.annotation	DAKCFMEO_01375, DAKCFMEO_01431, DAKCFMEO_04773
OG0000035	DC3000_protein_12_2025	WP_007244158.1, WP_011103959.1	plate25.C2.annotation	DAKCFMEO_00770, DAKCFMEO_01735, DAKCFMEO_02442, DAKCFMEO_03891, DAKCFMEO_04436
OG0000036	DC3000_protein_12_2025	WP_011103274.1, WP_011103279.1, WP_011104588.1	plate25.C2.annotation	DAKCFMEO_00600, DAKCFMEO_00952, DAKCFMEO_03708, DAKCFMEO_04695
OG0000037	DC3000_protein_12_2025	WP_011103502.1, WP_011104174.1	plate25.C2.annotation	DAKCFMEO_00363, DAKCFMEO_01240, DAKCFMEO_02993, DAKCFMEO_03736, DAKCFMEO_03737
OG0000038	DC3000_protein_12_2025	WP_011104616.1	plate25.C2.annotation	DAKCFMEO_00913, DAKCFMEO_03469, DAKCFMEO_04453, DAKCFMEO_04605, DAKCFMEO_04608, DAKCFMEO_04966
OG0000043	DC3000_protein_12_2025	WP_002553156.1, WP_002554837.1, WP_005764082.1	plate25.C2.annotation	DAKCFMEO_00145, DAKCFMEO_00809, DAKCFMEO_03299
OG0000044	DC3000_protein_12_2025	WP_002554157.1, WP_003381023.1, WP_010216576.1, WP_011103313.1	plate25.C2.annotation	DAKCFMEO_04205, DAKCFMEO_04624
OG0000045	DC3000_protein_12_2025	WP_002555020.1, WP_005770857.1, WP_011104125.1, WP_159229484.1	plate25.C2.annotation	DAKCFMEO_00368, DAKCFMEO_00941
OG0000046	DC3000_protein_12_2025	WP_003378280.1, WP_003381855.1, WP_003425025.1, WP_155490796.1	plate25.C2.annotation	DAKCFMEO_01226, DAKCFMEO_01356
OG0000048	DC3000_protein_12_2025	WP_005739842.1, WP_005768982.1, WP_005771285.1	plate25.C2.annotation	DAKCFMEO_00898, DAKCFMEO_02039, DAKCFMEO_03885
OG0000049	DC3000_protein_12_2025	WP_005739846.1, WP_011104338.1, WP_011104692.1	plate25.C2.annotation	DAKCFMEO_02036, DAKCFMEO_04028, DAKCFMEO_04358
OG0000050	DC3000_protein_12_2025	WP_005762712.1, WP_011105103.1	plate25.C2.annotation	DAKCFMEO_00573, DAKCFMEO_01091, DAKCFMEO_03862, DAKCFMEO_04391
OG0000051	DC3000_protein_12_2025	WP_005763678.1, WP_011105419.1, WP_046463879.1, WP_161797791.1	plate25.C2.annotation	DAKCFMEO_04210, DAKCFMEO_04829
OG0000052	DC3000_protein_12_2025	WP_005764441.1, WP_011103059.1, WP_011104693.1	plate25.C2.annotation	DAKCFMEO_02035, DAKCFMEO_04029, DAKCFMEO_04357
OG0000053	DC3000_protein_12_2025	WP_005765592.1, WP_011104485.1	plate25.C2.annotation	DAKCFMEO_00969, DAKCFMEO_01436, DAKCFMEO_03217, DAKCFMEO_05143
OG0000054	DC3000_protein_12_2025	WP_005766129.1, WP_011104367.1	plate25.C2.annotation	DAKCFMEO_03108, DAKCFMEO_03866, DAKCFMEO_04072, DAKCFMEO_04385
OG0000055	DC3000_protein_12_2025	WP_005766150.1, WP_011104116.1, WP_011104187.1, WP_011104269.1, WP_011104270.1	plate25.C2.annotation	DAKCFMEO_03762
OG0000056	DC3000_protein_12_2025	WP_005768984.1, WP_010203861.1, WP_044392584.1	plate25.C2.annotation	DAKCFMEO_00897, DAKCFMEO_02040, DAKCFMEO_03884
OG0000058	DC3000_protein_12_2025	WP_005771029.1, WP_011104556.1, WP_046463853.1	plate25.C2.annotation	DAKCFMEO_02044, DAKCFMEO_03339, DAKCFMEO_04753
OG0000060	DC3000_protein_12_2025	WP_007246451.1	plate25.C2.annotation	DAKCFMEO_00791, DAKCFMEO_02639, DAKCFMEO_03115, DAKCFMEO_03980, DAKCFMEO_04022
OG0000061	DC3000_protein_12_2025	WP_007247023.1, WP_011104366.1	plate25.C2.annotation	DAKCFMEO_00081, DAKCFMEO_02419, DAKCFMEO_03908, DAKCFMEO_04217
OG0000062	DC3000_protein_12_2025	WP_011103633.1, WP_011104143.1, WP_011104673.1, WP_011104940.1	plate25.C2.annotation	DAKCFMEO_00022, DAKCFMEO_01126
OG0000063	DC3000_protein_12_2025	WP_011103651.1, WP_024668283.1	plate25.C2.annotation	DAKCFMEO_00012, DAKCFMEO_01173, DAKCFMEO_01902, DAKCFMEO_03316
OG0000064	DC3000_protein_12_2025	WP_011104079.1, WP_046464016.1	plate25.C2.annotation	DAKCFMEO_01152, DAKCFMEO_01626, DAKCFMEO_05290, DAKCFMEO_05292
OG0000065	DC3000_protein_12_2025	WP_011104337.1, WP_011104691.1, WP_046463852.1	plate25.C2.annotation	DAKCFMEO_02037, DAKCFMEO_04027, DAKCFMEO_04359
OG0000066	DC3000_protein_12_2025	WP_002554655.1, WP_007245914.1	plate25.C2.annotation	DAKCFMEO_00946, DAKCFMEO_03128, DAKCFMEO_04076
OG0000067	DC3000_protein_12_2025	WP_003379555.1, WP_005766145.1, WP_005768426.1, WP_011104115.1	plate25.C2.annotation	DAKCFMEO_01953
OG0000068	DC3000_protein_12_2025	WP_003380560.1, WP_007243724.1, WP_011103096.1	plate25.C2.annotation	DAKCFMEO_01030, DAKCFMEO_01985
OG0000069	DC3000_protein_12_2025	WP_003382856.1, WP_005763521.1, WP_011103332.1	plate25.C2.annotation	DAKCFMEO_01170, DAKCFMEO_02141
OG0000070	DC3000_protein_12_2025	WP_005620804.1	plate25.C2.annotation	DAKCFMEO_02429, DAKCFMEO_03313, DAKCFMEO_04442, DAKCFMEO_04868
OG0000072	DC3000_protein_12_2025	WP_005762732.1, WP_011103764.1, WP_011105315.1	plate25.C2.annotation	DAKCFMEO_02481, DAKCFMEO_04585
OG0000073	DC3000_protein_12_2025	WP_005763690.1, WP_007243779.1, WP_052746243.1	plate25.C2.annotation	DAKCFMEO_00557, DAKCFMEO_02964
OG0000074	DC3000_protein_12_2025	WP_005763696.1, WP_005764509.1	plate25.C2.annotation	DAKCFMEO_00998, DAKCFMEO_04810, DAKCFMEO_04967
OG0000075	DC3000_protein_12_2025	WP_005763862.1, WP_005767000.1	plate25.C2.annotation	DAKCFMEO_01082, DAKCFMEO_01465, DAKCFMEO_02530
OG0000076	DC3000_protein_12_2025	WP_005764495.1, WP_007246965.1	plate25.C2.annotation	DAKCFMEO_03813, DAKCFMEO_04014, DAKCFMEO_04701
OG0000077	DC3000_protein_12_2025	WP_005765466.1, WP_005770626.1, WP_011104354.1	plate25.C2.annotation	DAKCFMEO_00058, DAKCFMEO_04248
OG0000078	DC3000_protein_12_2025	WP_005766109.1, WP_005769536.1, WP_007246020.1	plate25.C2.annotation	DAKCFMEO_01132, DAKCFMEO_01860
OG0000079	DC3000_protein_12_2025	WP_005766635.1, WP_011104856.1	plate25.C2.annotation	DAKCFMEO_00257, DAKCFMEO_02246, DAKCFMEO_02440
OG0000080	DC3000_protein_12_2025	WP_005767351.1, WP_046463317.1	plate25.C2.annotation	DAKCFMEO_00959, DAKCFMEO_01454, DAKCFMEO_02432
OG0000081	DC3000_protein_12_2025	WP_005769043.1, WP_005769285.1, WP_005771635.1	plate25.C2.annotation	DAKCFMEO_04169, DAKCFMEO_05299
OG0000082	DC3000_protein_12_2025	WP_005769163.1, WP_005769165.1, WP_007245189.1, WP_024668228.1	plate25.C2.annotation	DAKCFMEO_00603
OG0000083	DC3000_protein_12_2025	WP_005770871.1, WP_161420636.1	plate25.C2.annotation	DAKCFMEO_00947, DAKCFMEO_03127, DAKCFMEO_04077
OG0000084	DC3000_protein_12_2025	WP_005771489.1, WP_011103232.1, WP_011105584.1	plate25.C2.annotation	DAKCFMEO_01762, DAKCFMEO_03554
OG0000085	DC3000_protein_12_2025	WP_005894403.1, WP_044390135.1, WP_046463300.1, WP_161797766.1	plate25.C2.annotation	DAKCFMEO_02685
OG0000086	DC3000_protein_12_2025	WP_007244389.1	plate25.C2.annotation	DAKCFMEO_02494, DAKCFMEO_02893, DAKCFMEO_04586, DAKCFMEO_04588
OG0000087	DC3000_protein_12_2025	WP_007244651.1, WP_011104273.1, WP_011105457.1	plate25.C2.annotation	DAKCFMEO_03634, DAKCFMEO_04435
OG0000088	DC3000_protein_12_2025	WP_007246309.1, WP_011105458.1	plate25.C2.annotation	DAKCFMEO_00076, DAKCFMEO_04115, DAKCFMEO_04325
OG0000089	DC3000_protein_12_2025	WP_007246961.1, WP_011105495.1	plate25.C2.annotation	DAKCFMEO_00014, DAKCFMEO_01139, DAKCFMEO_01640
OG0000090	DC3000_protein_12_2025	WP_011103053.1, WP_011103085.1	plate25.C2.annotation	DAKCFMEO_02017, DAKCFMEO_02079, DAKCFMEO_03877
OG0000091	DC3000_protein_12_2025	WP_011103352.1, WP_011104046.1	plate25.C2.annotation	DAKCFMEO_01345, DAKCFMEO_02427, DAKCFMEO_04454
OG0000092	DC3000_protein_12_2025	WP_011103705.1, WP_044391155.1	plate25.C2.annotation	DAKCFMEO_01370, DAKCFMEO_01372, DAKCFMEO_02368
OG0000093	DC3000_protein_12_2025	WP_011103770.1, WP_011104429.1, WP_046463481.1, WP_046463675.1	plate25.C2.annotation	DAKCFMEO_00287
OG0000094	DC3000_protein_12_2025	WP_011103882.1, WP_011105431.1	plate25.C2.annotation	DAKCFMEO_02714, DAKCFMEO_04501, DAKCFMEO_05212
OG0000095	DC3000_protein_12_2025	WP_011104043.1	plate25.C2.annotation	DAKCFMEO_01348, DAKCFMEO_02364, DAKCFMEO_03022, DAKCFMEO_04487
OG0000096	DC3000_protein_12_2025	WP_011104071.1, WP_011105493.1	plate25.C2.annotation	DAKCFMEO_01134, DAKCFMEO_01638, DAKCFMEO_05281
OG0000097	DC3000_protein_12_2025	WP_011104072.1, WP_011105492.1	plate25.C2.annotation	DAKCFMEO_01135, DAKCFMEO_01637, DAKCFMEO_05282
OG0000098	DC3000_protein_12_2025	WP_011104074.1, WP_046464013.1	plate25.C2.annotation	DAKCFMEO_01154, DAKCFMEO_01635, DAKCFMEO_05284
OG0000099	DC3000_protein_12_2025	WP_011104075.1, WP_011105487.1	plate25.C2.annotation	DAKCFMEO_01155, DAKCFMEO_01634, DAKCFMEO_05285
